,,Crime,PP,PP/Crime
human,race,1,1,1
hunch,but,1,1,1
hurricane,bearing,1,1,1
i,decided,1,1,1
identify,individuals,1,1,1
identify,people,1,1,1
if,a,1,1,1
if,it,1,1,1
if,this,1,1,1
image,against,1,1,1
in,addition,4,4,1
in,arizona,1,1,1
in,both,3,3,1
in,brief,1,1,1
in,britain,1,1,1
in,china,1,1,1
in,fact,2,2,1
in,federal,1,1,1
in,four,1,1,1
in,ideas,1,1,1
in,japan,1,1,1
in,many,3,3,1
in,mind,1,1,1
in,more,1,1,1
in,one,2,2,1
in,our,1,1,1
in,parenting,1,1,1
in,person,1,1,1
in,special,1,1,1
in,specific,1,1,1
in,trouble,1,1,1
including,those,1,1,1
increase,of,1,1,1
increased,and,1,1,1
increased,the,1,1,1
indicating,that,1,1,1
individuals,on,1,1,1
information,byline,1,1,1
infrastructure,can,1,1,1
innovation,and,1,1,1
intended,to,2,2,1
interesting,and,1,1,1
internet,into,1,1,1
internet,is,1,1,1
into,fights,1,1,1
into,trouble,1,1,1
invasion,of,1,1,1
involved,two,1,1,1
is,all,1,1,1
is,available,1,1,1
is,based,1,1,1
is,being,1,1,1
is,both,1,1,1
is,centimetres,1,1,1
is,its,1,1,1
is,making,1,1,1
is,much,1,1,1
is,now,2,2,1
is,santa,1,1,1
is,still,1,1,1
issue,is,1,1,1
it,a,1,1,1
it,away,1,1,1
it,by,1,1,1
it,could,1,1,1
it,difficult,1,1,1
it,from,1,1,1
it,owns,1,1,1
it,should,1,1,1
it,stands,1,1,1
it,this,1,1,1
it,took,1,1,1
its,ancestors,1,1,1
its,photo,1,1,1
ivan,the,1,1,1
jackson,writes,1,1,1
japan,first,1,1,1
jian,of,1,1,1
joel,rubin,1,1,1
jour,what,1,1,1
jumped,from,1,1,1
k,reports,1,1,1
kea,parrots,1,1,1
keas,cracked,1,1,1
keas,with,1,1,1
keeping,the,1,1,1
kesterton,section,1,1,1
kids,sometimes,1,1,1
known,picture,1,1,1
kremlin,after,1,1,1
kremlin,complex,1,1,1
kremlin,the,1,1,1
kyoto,university,1,1,1
l,length,1,1,1
landmark,the,1,1,1
largely,by,1,1,1
law,to,1,1,1
lawsuit,to,1,1,1
leaders,have,1,1,1
least,likely,1,1,1
led,to,3,3,1
left,hand,1,1,1
left,to,1,1,1
less,crime,1,1,1
lesson,of,1,1,1
life,facts,1,1,1
like,others,1,1,1
like,reverse,1,1,1
limited,its,1,1,1
lists,some,1,1,1
locks,can,1,1,1
london,a,1,1,1
long,and,1,1,1
long,history,1,1,1
long,list,1,1,1
longest,nail,1,1,1
lot,more,1,1,1
love,best,1,1,1
low,income,1,1,1
made,on,1,1,1
magazine,describes,1,1,1
magazine,reports,1,1,1
mail,a,1,1,1
mail,canada,1,1,1
makes,it,2,2,1
makes,me,1,1,1
making,available,1,1,1
making,his,1,1,1
making,it,1,1,1
managed,to,1,1,1
management,a,1,1,1
manhattan,institute,2,2,1
many,cities,1,1,1
many,more,1,1,1
many,types,1,1,1
mart,joel,1,1,1
may,and,1,1,1
me,control,1,1,1
me,think,1,1,1
means,to,2,2,1
measure,of,1,1,1
merely,from,1,1,1
michael,kesterton,1,1,1
mid,and,1,1,1
middle,class,1,1,1
minds,kea,1,1,1
miscellany,of,1,1,1
miyata,found,1,1,1
miyata,of,1,1,1
mkesterton,globeandmail,1,1,1
mommy,daddy,1,1,1
month,by,1,1,1
moral,character,1,1,1
more,complicated,1,1,1
more,for,1,1,1
more,open,1,1,1
more,police,1,1,1
more,strawberry,1,1,1
more,to,1,1,1
moscow,landmark,1,1,1
most,at,1,1,1
most,challenging,1,1,1
most,effective,2,2,1
most,obvious,1,1,1
most,optimistic,1,1,1
most,significant,1,1,1
mother,nature,1,1,1
motor,vehicle,1,1,1
move,threatens,1,1,1
moves,he,1,1,1
much,and,1,1,1
much,longer,1,1,1
much,to,1,1,1
my,nails,1,1,1
my,temper,1,1,1
nail,is,1,1,1
nails,his,1,1,1
nails,on,1,1,1
nails,to,1,1,1
native,new,1,1,1
nature,gets,1,1,1
nearly,all,1,1,1
nearly,two,1,1,1
necessary,to,1,1,1
need,for,3,3,1
needs,and,1,1,1
net,anger,1,1,1
network,of,2,2,1
networking,sites,1,1,1
new,scientist,1,1,1
new,south,1,1,1
new,zealand,1,1,1
news,december,1,1,1
news,u,1,1,1
news,wen,1,1,1
next,few,1,1,1
ninth,century,1,1,1
no,credible,1,1,1
no,place,1,1,1
no,way,1,1,1
not,seem,1,1,1
not,sufficient,1,1,1
notion,of,1,1,1
now,be,1,1,1
now,started,1,1,1
occur,at,1,1,1
occurred,in,1,1,1
occurred,the,1,1,1
of,americans,2,2,1
of,and,1,1,1
of,at,1,1,1
of,both,1,1,1
of,changle,1,1,1
of,ctvglobemedia,1,1,1
of,cutting,1,1,1
of,distant,1,1,1
of,eight,1,1,1
of,either,1,1,1
of,female,1,1,1
of,food,1,1,1
of,genealogy,1,1,1
of,high,1,1,1
of,highly,1,1,1
of,ivan,1,1,1
of,kyoto,1,1,1
of,life,2,2,1
of,locks,1,1,1
of,london,1,1,1
of,members,1,1,1
of,mommy,1,1,1
of,operation,1,1,1
of,people,2,2,1
of,project,1,1,1
of,rurik,1,1,1
of,sales,1,1,1
of,services,1,1,1
of,technical,1,1,1
of,three,2,2,1
of,time,2,2,1
offers,a,1,1,1
officer,and,1,1,1
officer,it,1,1,1
officer,to,1,1,1
officers,because,1,1,1
officers,know,1,1,1
officers,more,1,1,1
officers,on,2,2,1
officers,will,1,1,1
officials,have,1,1,1
officials,the,1,1,1
old,american,1,1,1
on,average,1,1,1
on,greater,1,1,1
on,social,1,1,1
on,terror,1,1,1
on,them,1,1,1
on,top,1,1,1
on,your,1,1,1
once,the,1,1,1
one,direction,1,1,1
one,needed,1,1,1
ones,the,1,1,1
online,galleries,1,1,1
only,by,1,1,1
open,all,1,1,1
open,before,1,1,1
open,to,1,1,1
optimistic,scenarios,1,1,1
or,any,1,1,1
or,as,1,1,1
or,being,1,1,1
or,large,1,1,1
orange,news,1,1,1
organization,representing,1,1,1
other,online,1,1,1
other,such,1,1,1
others,he,1,1,1
others,with,1,1,1
our,kremlin,1,1,1
over,invasion,1,1,1
over,their,1,1,1
overseas,the,1,1,1
ownership,criminal,1,1,1
owns,the,1,1,1
parenting,magazine,1,1,1
parents,awkward,1,1,1
parrots,are,1,1,1
parrots,managed,1,1,1
part,the,1,1,1
pastries,the,1,1,1
pattern,of,2,2,1
paul,says,1,1,1
paul,than,1,1,1
pay,for,1,1,1
people,brought,1,1,1
people,have,2,2,1
people,merely,1,1,1
people,want,1,1,1
perceived,as,1,1,1
period,of,1,1,1
perspective,the,1,1,1
peter,baruch,1,1,1
peter,tells,1,1,1
pg,l,1,1,1
pg,p,1,1,1
photo,finder,1,1,1
photographs,on,1,1,1
pink,pastries,1,1,1
place,the,1,1,1
place,to,1,1,1
places,the,1,1,1
plan,their,1,1,1
police,career,1,1,1
police,chiefs,3,3,1
police,code,1,1,1
police,community,2,2,1
police,personnel,1,1,1
police,resources,1,1,1
police,stations,1,1,1
policing,for,1,1,1
policing,if,1,1,1
policing,strategy,1,1,1
political,system,1,1,1
pop,tarts,2,2,1
possibility,that,1,1,1
possibly,prevent,1,1,1
powerful,computer,1,1,1
presence,in,2,2,1
presented,keas,1,1,1
prevent,many,1,1,1
prevents,him,1,1,1
prince,whose,1,1,1
princes,foundation,1,1,1
priority,and,1,1,1
priority,on,1,1,1
privacy,however,1,1,1
problem,faster,1,1,1
problems,and,2,2,1
problems,in,1,1,1
produced,a,1,1,1
profound,buzzy,1,1,1
program,was,1,1,1
program,wii,1,1,1
programs,and,1,1,1
programs,the,1,1,1
prove,it,1,1,1
provide,a,2,2,1
providers,in,1,1,1
providing,the,1,1,1
province,says,1,1,1
provision,of,1,1,1
publishing,inc,1,1,1
punch,give,1,1,1
pursuit,of,1,1,1
race,is,1,1,1
racial,profiling,1,1,1
ranks,of,1,1,1
rates,are,1,1,1
rates,in,1,1,1
real,dude,1,1,1
really,believe,1,1,1
reason,even,1,1,1
reason,to,2,2,1
received,more,1,1,1
reduced,the,1,1,1
reducing,crime,1,1,1
reflected,in,2,2,1
related,the,1,1,1
release,miyata,1,1,1
releasing,its,1,1,1
remember,the,1,1,1
removed,from,1,1,1
renowned,thieves,1,1,1
reported,its,1,1,1
reports,and,1,1,1
reports,for,1,1,1
reports,fuzhou,1,1,1
reports,hiromitsu,1,1,1
reports,load,1,1,1
reports,the,1,1,1
reports,wen,1,1,1
requests,and,1,1,1
required,to,1,1,1
requires,the,1,1,1
researchers,say,1,1,1
residents,of,1,1,1
resources,to,1,1,1
respond,and,1,1,1
responsibility,for,1,1,1
rest,of,1,1,1
result,in,1,1,1
resulting,in,1,1,1
results,have,1,1,1
retail,giant,1,1,1
reverse,cowgirl,1,1,1
review,the,1,1,1
revolutionize,law,1,1,1
risk,for,1,1,1
risk,of,1,1,1
role,is,1,1,1
rooted,in,2,2,1
rubin,writes,1,1,1
ruled,until,1,1,1
ruling,on,1,1,1
rurik,a,1,1,1
russian,state,1,1,1
rutgers,university,1,1,1
s,as,1,1,1
s,blue,1,1,1
s,chief,1,1,1
s,insistence,1,1,1
s,leadership,1,1,1
s,major,1,1,1
s,news,1,1,1
s,performance,1,1,1
s,size,1,1,1
s,whom,1,1,1
safe,but,1,1,1
said,when,1,1,1
sales,data,1,1,1
santa,real,1,1,1
say,could,1,1,1
says,about,1,1,1
says,until,1,1,1
scale,emergencies,1,1,1
scandal,and,1,1,1
scenarios,could,1,1,1
scientist,magazine,1,1,1
scientists,are,1,1,1
scientists,to,1,1,1
search,for,1,1,1
second,would,1,1,1
section,globe,1,1,1
secured,with,1,1,1
security,officers,1,1,1
security,the,1,1,1
see,a,1,1,1
seeing,eye,1,1,1
seen,by,1,1,1
sent,supply,1,1,1
separated,only,1,1,1
sequence,of,1,1,1
service,in,1,1,1
service,would,1,1,1
serving,in,1,1,1
serving,the,1,1,1
set,off,1,1,1
setup,for,1,1,1
setup,involved,1,1,1
severity,of,1,1,1
shape,it,1,1,1
she,doesn,1,1,1
shelves,with,1,1,1
short,time,1,1,1
should,now,1,1,1
side,of,1,1,1
similar,but,1,1,1
similar,technology,1,1,1
sister,and,1,1,1
site,the,1,1,1
sites,and,1,1,1
six,years,1,1,1
slid,open,1,1,1
smell,an,1,1,1
snooping,today,1,1,1
so,had,1,1,1
so,he,1,1,1
so,many,2,2,1
so,this,1,1,1
social,costs,1,1,1
social,networking,1,1,1
social,studies,1,1,1
software,company,1,1,1
software,to,1,1,1
solve,the,1,1,1
some,answers,1,1,1
some,ways,1,1,1
sometimes,ask,1,1,1
soon,there,1,1,1
south,wales,1,1,1
spiker,in,1,1,1
spinoza,load,1,1,1
staffing,and,1,1,1
stake,their,1,1,1
started,releasing,1,1,1
state,has,1,1,1
states,a,1,1,1
states,and,1,1,1
status,in,1,1,1
still,has,1,1,1
stock,shelves,1,1,1
storm,to,1,1,1
story,about,1,1,1
strategies,that,1,1,1
strawberry,pop,2,2,1
streets,and,1,1,1
strength,of,1,1,1
studies,a,1,1,1
study,the,2,2,1
successful,in,1,1,1
such,that,1,1,1
sufficient,evidence,1,1,1
suggests,they,1,1,1
sunday,times,1,1,1
sunday,today,1,1,1
supervision,of,1,1,1
supply,trucks,1,1,1
surprising,that,1,1,1
system,allowing,1,1,1
system,will,2,2,1
systems,to,1,1,1
t,foil,1,1,1
t,like,1,1,1
t,why,1,1,1
tackle,problems,1,1,1
takes,time,1,1,1
tarts,bad,1,1,1
tarts,officials,1,1,1
tasks,harder,1,1,1
technology,companies,1,1,1
technology,that,1,1,1
ted,spiker,1,1,1
telegraph,reports,1,1,1
tells,us,1,1,1
temper,because,1,1,1
temper,orange,1,1,1
tempered,i,1,1,1
terrible,filed,1,1,1
than,about,1,1,1
than,half,1,1,1
that,began,1,1,1
that,can,3,3,1
that,crunched,1,1,1
that,go,1,1,1
that,had,1,1,1
that,its,1,1,1
that,not,1,1,1
that,one,2,2,1
that,our,1,1,1
that,shows,1,1,1
that,work,1,1,1
that,workers,1,1,1
the,acre,1,1,1
the,air,1,1,1
the,anecdote,1,1,1
the,annual,2,2,1
the,author,1,1,1
the,big,1,1,1
the,birds,1,1,1
the,boston,1,1,1
the,brief,1,1,1
the,central,1,1,1
the,commission,1,1,1
the,company,1,1,1
the,concentration,1,1,1
the,criminal,2,2,1
the,current,2,2,1
the,data,2,2,1
the,days,1,1,1
the,decade,2,2,1
the,decision,3,3,1
the,descendents,1,1,1
the,direct,1,1,1
the,expected,1,1,1
the,force,1,1,1
the,frosted,1,1,1
the,gap,1,1,1
the,globe,2,2,1
the,greater,1,1,1
the,human,1,1,1
the,keas,1,1,1
the,kremlin,1,1,1
the,law,4,4,1
the,legal,2,2,1
the,main,2,2,1
the,month,1,1,1
the,moscow,1,1,1
the,nails,1,1,1
the,net,1,1,1
the,new,14,14,1
the,numbers,1,1,1
the,office,1,1,1
the,overall,1,1,1
the,parrots,1,1,1
the,people,4,4,1
the,percent,1,1,1
the,physical,1,1,1
the,population,1,1,1
the,princes,1,1,1
the,problems,1,1,1
the,provision,1,1,1
the,purpose,1,1,1
the,racial,1,1,1
the,ranks,1,1,1
the,rare,1,1,1
the,recent,1,1,1
the,region,1,1,1
the,rest,1,1,1
the,retail,1,1,1
the,right,1,1,1
the,russian,1,1,1
the,setup,1,1,1
the,severity,1,1,1
the,st,1,1,1
the,storm,1,1,1
the,strategy,1,1,1
the,sunday,1,1,1
the,supervision,1,1,1
the,survey,1,1,1
the,task,1,1,1
the,tasks,1,1,1
the,terrible,1,1,1
the,tough,1,1,1
the,two,5,5,1
the,u,6,6,1
the,university,1,1,1
the,value,1,1,1
the,various,1,1,1
the,weapons,1,1,1
the,web,1,1,1
their,claim,1,1,1
their,image,1,1,1
their,moves,1,1,1
their,own,3,3,1
their,ownership,1,1,1
their,parents,1,1,1
their,personal,1,1,1
their,safety,1,1,1
them,new,1,1,1
them,so,1,1,1
themselves,to,1,1,1
then,the,1,1,1
there,has,1,1,1
there,was,8,8,1
they,had,2,2,1
they,operate,1,1,1
thieves,in,1,1,1
think,before,1,1,1
think,frank,1,1,1
think,what,1,1,1
this,case,1,1,1
this,is,8,8,1
this,kids,1,1,1
this,problem,1,1,1
this,state,1,1,1
this,way,1,1,1
those,in,1,1,1
thought,du,1,1,1
three,bolts,1,1,1
three,cities,1,1,1
throwing,a,1,1,1
tied,to,1,1,1
ties,to,1,1,1
time,from,1,1,1
time,the,1,1,1
time,when,1,1,1
times,the,1,1,1
times,with,1,1,1
to,apply,1,1,1
to,as,1,1,1
to,build,1,1,1
to,combat,2,2,1
to,complete,1,1,1
to,cut,1,1,1
to,developers,1,1,1
to,eat,1,1,1
to,explain,1,1,1
to,face,3,3,1
to,federal,3,3,1
to,forget,1,1,1
to,grow,2,2,1
to,help,5,5,1
to,hide,1,1,1
to,identify,2,2,1
to,improve,1,1,1
to,its,2,2,1
to,law,2,2,1
to,more,1,1,1
to,pay,2,2,1
to,prove,1,1,1
to,provide,3,3,1
to,punish,1,1,1
to,pursue,1,1,1
to,search,1,1,1
to,stake,1,1,1
to,stock,1,1,1
to,such,1,1,1
to,suggest,1,1,1
to,surface,1,1,1
to,tackle,1,1,1
to,this,4,4,1
today,soon,1,1,1
tough,ones,1,1,1
trend,is,1,1,1
trouble,i,1,1,1
trucks,into,1,1,1
try,to,3,3,1
turn,the,1,1,1
two,bolts,1,1,1
two,fighting,1,1,1
two,to,1,1,1
u,k,1,1,1
unable,to,2,2,1
unclear,whether,1,1,1
undeniable,fact,1,1,1
unleashed,chris,1,1,1
until,has,1,1,1
until,now,2,2,1
unusual,but,1,1,1
us,more,1,1,1
us,police,1,1,1
use,because,1,1,1
use,that,1,1,1
value,of,1,1,1
version,of,1,1,1
very,aggressive,1,1,1
very,bad,1,1,1
very,much,1,1,1
wal,mart,1,1,1
was,always,1,1,1
was,even,1,1,1
was,launched,1,1,1
was,some,1,1,1
was,to,1,1,1
was,with,1,1,1
was,young,1,1,1
we,expect,1,1,1
we,need,2,2,1
we,should,3,3,1
we,use,1,1,1
weapons,and,1,1,1
weather,and,1,1,1
wen,jian,1,1,1
wen,said,1,1,1
were,able,1,1,1
were,allowed,1,1,1
were,so,1,1,1
were,thought,1,1,1
were,you,1,1,1
west,virginia,1,1,1
what,happens,2,2,1
what,paul,1,1,1
what,they,2,2,1
when,an,1,1,1
when,i,1,1,1
when,mother,1,1,1
when,they,3,3,1
where,the,4,4,1
which,it,1,1,1
which,they,3,3,1
while,before,1,1,1
while,not,1,1,1
whim,or,1,1,1
who,live,1,1,1
whom,thought,1,1,1
whose,eponymous,1,1,1
why,are,1,1,1
why,does,1,1,1
why,they,1,1,1
why,were,1,1,1
wii,games,1,1,1
will,likely,1,1,1
will,make,1,1,1
will,work,1,1,1
wire,reports,1,1,1
wish,to,1,1,1
wish,you,1,1,1
with,an,2,2,1
with,boxes,1,1,1
with,its,1,1,1
with,others,1,1,1
with,people,1,1,1
with,similar,1,1,1
with,their,2,2,1
with,those,1,1,1
with,up,1,1,1
witnessed,a,1,1,1
women,in,1,1,1
words,mkesterton,1,1,1
work,a,1,1,1
work,and,2,2,1
work,to,3,3,1
work,with,2,2,1
worked,with,1,1,1
working,the,1,1,1
works,for,1,1,1
world,without,1,1,1
worms,feed,1,1,1
worry,about,1,1,1
would,also,1,1,1
would,decline,1,1,1
would,find,1,1,1
would,probably,1,1,1
would,release,1,1,1
writes,for,2,2,1
years,have,1,1,1
yet,another,1,1,1
yet,in,1,1,1
you,die,2,2,1
you,love,1,1,1
you,on,1,1,1
you,really,1,1,1
you,two,1,1,1
you,wish,1,1,1
young,i,1,1,1
younger,sister,1,1,1
your,eyes,1,1,1
your,younger,1,1,1
zealand,and,1,1,1
and,that,12,11,0.916666667
over,the,12,11,0.916666667
and,in,8,7,0.875
the,department,8,7,0.875
the,course,7,6,0.857142857
by,the,34,29,0.852941176
and,law,6,5,0.833333333
in,its,6,5,0.833333333
into,the,12,10,0.833333333
need,to,6,5,0.833333333
of,a,48,40,0.833333333
to,do,11,9,0.818181818
a,new,5,4,0.8
and,they,5,4,0.8
half,of,5,4,0.8
in,their,10,8,0.8
not,be,5,4,0.8
recent,years,5,4,0.8
the,old,5,4,0.8
the,way,5,4,0.8
to,the,97,77,0.793814433
are,a,4,3,0.75
based,on,8,6,0.75
crime,fighting,4,3,0.75
for,its,4,3,0.75
from,a,12,9,0.75
has,a,4,3,0.75
officials,in,4,3,0.75
percent,in,4,3,0.75
the,former,4,3,0.75
the,results,4,3,0.75
to,be,48,36,0.75
were,not,4,3,0.75
has,been,34,25,0.735294118
during,the,11,8,0.727272727
in,crime,7,5,0.714285714
on,a,14,10,0.714285714
the,same,14,10,0.714285714
in,a,59,41,0.694915254
a,good,3,2,0.666666667
a,series,3,2,0.666666667
addition,to,3,2,0.666666667
and,brown,3,2,0.666666667
and,has,3,2,0.666666667
and,possibly,3,2,0.666666667
as,many,3,2,0.666666667
as,they,3,2,0.666666667
because,it,3,2,0.666666667
been,a,3,2,0.666666667
called,for,3,2,0.666666667
cops,and,3,2,0.666666667
crime,drop,3,2,0.666666667
first,half,3,2,0.666666667
group,that,3,2,0.666666667
has,become,3,2,0.666666667
have,committed,3,2,0.666666667
in,law,3,2,0.666666667
in,recent,6,4,0.666666667
is,no,3,2,0.666666667
many,as,3,2,0.666666667
more,likely,3,2,0.666666667
now,the,3,2,0.666666667
of,all,3,2,0.666666667
office,of,3,2,0.666666667
on,crime,3,2,0.666666667
parts,of,3,2,0.666666667
related,to,3,2,0.666666667
series,of,3,2,0.666666667
the,highest,3,2,0.666666667
the,internet,3,2,0.666666667
the,possibility,3,2,0.666666667
the,scene,3,2,0.666666667
the,street,3,2,0.666666667
time,in,3,2,0.666666667
times,of,3,2,0.666666667
to,continue,3,2,0.666666667
to,three,3,2,0.666666667
was,very,3,2,0.666666667
what,s,3,2,0.666666667
when,you,3,2,0.666666667
years,of,3,2,0.666666667
the,case,11,7,0.636363636
and,other,16,10,0.625
outside,the,8,5,0.625
the,first,16,10,0.625
is,an,5,3,0.6
not,the,5,3,0.6
that,we,5,3,0.6
through,the,5,3,0.6
under,the,5,3,0.6
we,can,5,3,0.6
who,have,5,3,0.6
to,get,7,4,0.571428571
way,to,7,4,0.571428571
one,of,13,7,0.538461538
more,than,17,9,0.529411765
a,body,2,1,0.5
a,day,2,1,0.5
a,five,2,1,0.5
a,free,2,1,0.5
a,known,2,1,0.5
a,result,4,2,0.5
a,sea,2,1,0.5
a,suspect,2,1,0.5
about,half,2,1,0.5
about,it,2,1,0.5
about,percent,2,1,0.5
across,the,10,5,0.5
all,related,2,1,0.5
and,a,14,7,0.5
and,m,2,1,0.5
and,manufacturing,2,1,0.5
and,r,2,1,0.5
and,robert,4,2,0.5
and,st,2,1,0.5
appeared,to,2,1,0.5
area,of,2,1,0.5
attacks,and,2,1,0.5
back,our,2,1,0.5
be,easy,2,1,0.5
be,held,2,1,0.5
be,in,4,2,0.5
be,no,2,1,0.5
because,of,14,7,0.5
become,a,2,1,0.5
been,reported,2,1,0.5
before,he,2,1,0.5
beverly,hills,2,1,0.5
but,at,2,1,0.5
but,he,2,1,0.5
but,in,2,1,0.5
but,some,2,1,0.5
by,brian,4,2,0.5
by,people,2,1,0.5
byline,michael,2,1,0.5
career,and,2,1,0.5
carried,out,2,1,0.5
cause,of,2,1,0.5
center,for,4,2,0.5
city,is,2,1,0.5
community,involvement,2,1,0.5
company,called,2,1,0.5
compared,to,6,3,0.5
control,of,2,1,0.5
could,be,6,3,0.5
court,system,2,1,0.5
court,to,2,1,0.5
criminal,activity,2,1,0.5
daily,telegraph,2,1,0.5
data,in,2,1,0.5
david,m,2,1,0.5
decade,old,2,1,0.5
decided,to,2,1,0.5
decision,to,2,1,0.5
do,this,2,1,0.5
domestic,violence,2,1,0.5
doubt,that,2,1,0.5
drop,in,4,2,0.5
economy,and,2,1,0.5
effort,to,2,1,0.5
enforcement,officials,2,1,0.5
evidence,is,2,1,0.5
fell,to,2,1,0.5
for,gathering,2,1,0.5
found,an,2,1,0.5
generations,of,2,1,0.5
had,the,2,1,0.5
hard,to,2,1,0.5
has,already,2,1,0.5
has,limited,2,1,0.5
have,also,2,1,0.5
he,says,2,1,0.5
him,from,2,1,0.5
idea,that,2,1,0.5
in,about,2,1,0.5
in,city,2,1,0.5
in,overall,2,1,0.5
interested,in,2,1,0.5
into,an,2,1,0.5
investment,in,2,1,0.5
involvement,and,2,1,0.5
is,also,2,1,0.5
is,part,2,1,0.5
issue,in,2,1,0.5
it,it,2,1,0.5
it,makes,2,1,0.5
know,what,2,1,0.5
large,amounts,2,1,0.5
later,a,2,1,0.5
least,a,2,1,0.5
lived,in,2,1,0.5
man,in,2,1,0.5
mayor,s,2,1,0.5
members,and,2,1,0.5
members,of,10,5,0.5
model,for,2,1,0.5
no,evidence,2,1,0.5
northeastern,university,2,1,0.5
not,a,2,1,0.5
of,college,2,1,0.5
of,death,2,1,0.5
of,factors,2,1,0.5
of,four,2,1,0.5
of,north,2,1,0.5
of,privacy,2,1,0.5
of,who,2,1,0.5
officers,and,2,1,0.5
on,an,2,1,0.5
on,his,4,2,0.5
on,our,2,1,0.5
other,crimes,2,1,0.5
others,to,2,1,0.5
out,what,2,1,0.5
part,in,2,1,0.5
participation,in,2,1,0.5
percent,reduction,2,1,0.5
performance,of,2,1,0.5
phase,of,2,1,0.5
picture,of,2,1,0.5
plans,to,2,1,0.5
police,group,2,1,0.5
police,the,4,2,0.5
population,of,2,1,0.5
possibility,of,2,1,0.5
public,should,2,1,0.5
questions,why,2,1,0.5
r,i,2,1,0.5
rate,of,2,1,0.5
reams,of,2,1,0.5
reasons,for,2,1,0.5
relate,to,2,1,0.5
representing,the,2,1,0.5
run,by,2,1,0.5
s,law,2,1,0.5
say,this,2,1,0.5
school,and,2,1,0.5
schools,and,2,1,0.5
scope,and,2,1,0.5
sea,of,2,1,0.5
september,sunday,2,1,0.5
served,in,2,1,0.5
something,new,2,1,0.5
study,found,2,1,0.5
t,say,2,1,0.5
than,ever,2,1,0.5
that,first,2,1,0.5
that,should,2,1,0.5
the,body,2,1,0.5
the,chicago,2,1,0.5
the,day,2,1,0.5
the,ethical,2,1,0.5
the,florida,2,1,0.5
the,initial,2,1,0.5
the,issue,2,1,0.5
the,time,4,2,0.5
the,trappings,2,1,0.5
their,neighborhoods,2,1,0.5
they,would,4,2,0.5
this,point,2,1,0.5
those,involved,2,1,0.5
though,there,2,1,0.5
threatens,to,2,1,0.5
to,act,2,1,0.5
to,allow,2,1,0.5
to,another,2,1,0.5
to,break,2,1,0.5
to,crime,4,2,0.5
to,discuss,2,1,0.5
to,figure,2,1,0.5
to,go,2,1,0.5
to,hold,2,1,0.5
to,meet,2,1,0.5
to,open,2,1,0.5
to,pass,2,1,0.5
to,prevent,2,1,0.5
to,turn,2,1,0.5
to,use,4,2,0.5
trappings,of,2,1,0.5
turn,to,2,1,0.5
university,in,2,1,0.5
up,the,2,1,0.5
us,and,2,1,0.5
was,an,2,1,0.5
was,not,8,4,0.5
was,on,2,1,0.5
way,of,4,2,0.5
when,the,4,2,0.5
white,officers,2,1,0.5
will,have,2,1,0.5
will,not,6,3,0.5
with,high,2,1,0.5
with,more,2,1,0.5
with,violent,2,1,0.5
without,a,2,1,0.5
working,with,2,1,0.5
years,later,2,1,0.5
you,could,2,1,0.5
with,a,27,13,0.481481481
for,a,24,11,0.458333333
we,are,11,5,0.454545455
doesn,t,9,4,0.444444444
they,were,9,4,0.444444444
part,of,16,7,0.4375
i,was,7,3,0.428571429
in,two,7,3,0.428571429
of,his,7,3,0.428571429
police,chief,7,3,0.428571429
information,about,17,7,0.411764706
against,the,5,2,0.4
counts,of,5,2,0.4
in,all,5,2,0.4
involved,in,10,4,0.4
that,has,5,2,0.4
to,that,5,2,0.4
trying,to,5,2,0.4
using,the,5,2,0.4
we,do,5,2,0.4
at,the,48,19,0.395833333
the,crime,18,7,0.388888889
all,of,8,3,0.375
have,a,8,3,0.375
is,in,8,3,0.375
police,department,24,9,0.375
s,a,8,3,0.375
we,have,8,3,0.375
s,department,20,7,0.35
a,city,6,2,0.333333333
a,second,3,1,0.333333333
about,their,3,1,0.333333333
acknowledged,that,3,1,0.333333333
after,the,12,4,0.333333333
all,that,3,1,0.333333333
an,area,3,1,0.333333333
and,by,3,1,0.333333333
and,crime,6,2,0.333333333
and,later,3,1,0.333333333
and,women,3,1,0.333333333
anger,management,3,1,0.333333333
are,being,3,1,0.333333333
are,working,3,1,0.333333333
be,returned,3,1,0.333333333
been,in,3,1,0.333333333
blue,line,3,1,0.333333333
but,was,3,1,0.333333333
chief,of,3,1,0.333333333
community,safety,3,1,0.333333333
continued,to,3,1,0.333333333
cost,of,3,1,0.333333333
county,and,3,1,0.333333333
crime,the,3,1,0.333333333
department,s,12,4,0.333333333
did,not,6,2,0.333333333
director,of,3,1,0.333333333
figure,out,3,1,0.333333333
for,all,3,1,0.333333333
for,one,3,1,0.333333333
for,those,3,1,0.333333333
from,his,3,1,0.333333333
give,back,3,1,0.333333333
he,also,3,1,0.333333333
if,they,6,2,0.333333333
if,we,3,1,0.333333333
illegal,immigration,3,1,0.333333333
in,violent,3,1,0.333333333
invest,in,3,1,0.333333333
is,about,3,1,0.333333333
is,expected,3,1,0.333333333
is,most,3,1,0.333333333
is,why,3,1,0.333333333
it,doesn,3,1,0.333333333
it,to,3,1,0.333333333
law,in,3,1,0.333333333
list,of,3,1,0.333333333
looked,at,3,1,0.333333333
made,a,3,1,0.333333333
more,and,3,1,0.333333333
news,section,3,1,0.333333333
of,events,3,1,0.333333333
of,them,9,3,0.333333333
on,its,3,1,0.333333333
