    627 supra	note
      3 vulnerability	not
      3 voluntary	or
      3 vitello	kirk
      3 visited	especially
      3 vis	a
      3 violent	offenses
      3 violent	attacks
      3 violence	security
      3 violence	by
      3 violence	a
      3 views	and
      3 videotaped	technology
      3 videos	n
      3 video	recognition
      3 veteran	said
      3 very	way
      3 very	differently
      3 version	of
      3 vera	inst
      3 vehicle	registration
      3 ve	essentially
      3 vast	quantities
      3 valuable	training
      3 valuable	information
      3 validity	of
      3 vague	and
      3 v	williams
      3 v	sokolow
      3 v	sixth
      3 v	north
      3 v	jones
      3 v	doe
      3 v	city
      3 v	california
      3 v	alabama
      3 using	quantitative
      3 users	private
      3 user	s
      3 used	predictive
      3 use	it
      3 use	crime
      3 us	they
      3 us	schools
      3 us	police
      3 us	partnerships
      3 us	muslims
      3 us	last
      3 us	homeland
      3 us	history
      3 us	from
      3 us	cities
      3 us	are
      3 us	and
      3 urban	vulnerability
      3 urban	tourniquet
      3 urban	theorist
      3 urban	terrorism
      3 urban	terror
      3 upon	the
      3 up	in
      3 up	from
      3 up	and
      3 up	a
      3 until	the
      3 unprovoked	flight
      3 unobtrusive	adaptations
      3 unlikely	to
      3 unknown	to
      3 united	front
      3 unit	that
      3 unified	school
      3 unfortunately	not
      3 unexpected	insights
      3 unease	is
      3 understanding	the
      3 undermines	childhood
      3 undermine	privacy
      3 under	heightened
      3 under	assault
      3 under	a
      3 unaccountable	policing
      3 uk	france
      3 ucla	law
      3 ucla	l
      3 u	j
      3 type	and
      3 two	people
      3 two	or
      3 two	men
      3 two	cities
      3 twenty	seven
      3 twenty	first
      3 twentieth	century
      3 turns	up
      3 turns	to
      3 truth	there
      3 truth	n
      3 trusting	one
      3 trust	us
      3 trust	he
      3 trust	byline
      3 troves	of
      3 triggered	by
      3 trick	is
      3 trends	to
      3 treat	people
      3 transcontinental	media
      3 transaction	surveillance
      3 training	tool
      3 training	and
      3 trained	operatives
      3 traffic	away
      3 traditional	law
      3 trade	commission
      3 town	halls
      3 toward	ethical
      3 tourniquet	of
      3 tough	talking
      3 topics	for
      3 top	of
      3 top	down
      3 top	cop
      3 tool	n
      3 tool	in
      3 too	launched
      3 too	far
      3 told	the
      3 told	me
      3 told	him
      3 together	with
      3 together	these
      3 together	and
      3 today	the
      3 to	youthful
      3 to	ward
      3 to	validate
      3 to	us
      3 to	urban
      3 to	that
      3 to	submit
      3 to	solve
      3 to	sell
      3 to	scan
      3 to	safeguard
      3 to	rob
      3 to	refer
      3 to	recruit
      3 to	promote
      3 to	private
      3 to	preserve
      3 to	predictive
      3 to	persuade
      3 to	personal
      3 to	people
      3 to	patrol
      3 to	one
      3 to	no
      3 to	narrowly
      3 to	minimise
      3 to	meet
      3 to	mass
      3 to	map
      3 to	lock
      3 to	lisa
      3 to	let
      3 to	lend
      3 to	justice
      3 to	intrude
      3 to	interpret
      3 to	initiate
      3 to	in
      3 to	illustrate
      3 to	ignore
      3 to	human
      3 to	how
      3 to	himself
      3 to	harm
      3 to	harden
      3 to	grow
      3 to	government
      3 to	full
      3 to	form
      3 to	forget
      3 to	follow
      3 to	five
      3 to	financial
      3 to	fight
      3 to	field
      3 to	facilitate
      3 to	express
      3 to	exploitation
      3 to	exclude
      3 to	evaluating
      3 to	escape
      3 to	erect
      3 to	equip
      3 to	encourage
      3 to	disseminate
      3 to	discuss
      3 to	devastating
      3 to	detain
      3 to	describe
      3 to	debate
      3 to	day
      3 to	court
      3 to	corroborate
      3 to	continue
      3 to	contest
      3 to	check
      3 to	boston
      3 to	bear
      3 to	ask
      3 to	as
      3 to	areas
      3 to	anticipate
      3 to	another
      3 to	analyze
      3 to	american
      3 to	allow
      3 to	adulthood
      3 to	adult
      3 tip	that
      3 times	to
      3 times	jan
      3 times	el
      3 times	apr
      3 times	a
      3 time	for
      3 ties	with
      3 tier	could
      3 tied	to
      3 thus	a
      3 through	its
      3 through	germany
      3 threats	were
      3 threats	to
      3 threats	mean
      3 threats	as
      3 threats	and
      3 threat	why
      3 threat	seriously
      3 threat	posed
      3 threat	needs
      3 threat	is
      3 threat	environment
      3 threat	awareness
      3 thought	crimes
      3 though	called
      3 those	responsible
      3 those	people
      3 those	communities
      3 this	was
      3 this	small
      3 this	shift
      3 this	reality
      3 this	opportunity
      3 this	may
      3 this	kind
      3 this	in
      3 this	distortion
      3 this	department
      3 this	case
      3 thinktank	in
      3 thinking	about
      3 think	technology
      3 think	of
      3 think	n
      3 they	ve
      3 they	trust
      3 they	rely
      3 they	preserve
      3 they	must
      3 they	might
      3 they	live
      3 they	had
      3 they	could
      3 these	were
      3 these	two
      3 these	measures
      3 these	issues
      3 these	initiatives
      3 these	differences
      3 these	criminal
      3 these	contacts
      3 these	agencies
      3 there	will
      3 there	to
      3 there	has
      3 theory	the
      3 theory	s
      3 theorist	richard
      3 theoretical	frameworks
      3 themselves	toward
      3 them	with
      3 them	video
      3 them	the
      3 them	for
      3 them	during
      3 them	by
      3 their	white
      3 their	vulnerability
      3 their	use
      3 their	suspicion
      3 their	policing
      3 their	physical
      3 their	persons
      3 their	personnel
      3 their	personal
      3 their	intentions
      3 their	immaturity
      3 their	government
      3 their	freedoms
      3 their	efforts
      3 their	assessment
      3 theft	or
      3 the	worst
      3 the	ways
      3 the	value
      3 the	validity
      3 the	vague
      3 the	ultimate
      3 the	types
      3 the	trust
      3 the	trick
      3 the	training
      3 the	traditional
      3 the	tracking
      3 the	tough
      3 the	tools
      3 the	terrorists
      3 the	tension
      3 the	techniques
      3 the	target
      3 the	suspicion
      3 the	surveillance
      3 the	surface
      3 the	subcomm
      3 the	strategy
      3 the	station
      3 the	states
      3 the	somewhat
      3 the	solution
      3 the	single
      3 the	seventh
      3 the	sender
      3 the	second
      3 the	scene
      3 the	saying
      3 the	roots
      3 the	results
      3 the	requirement
      3 the	reports
      3 the	relevance
      3 the	relative
      3 the	regular
      3 the	record
      3 the	recently
      3 the	reasonableness
      3 the	reality
      3 the	rate
      3 the	quantity
      3 the	quantitative
      3 the	push
      3 the	protection
      3 the	production
      3 the	product
      3 the	probable
      3 the	principal
      3 the	price
      3 the	pressure
      3 the	press
      3 the	present
      3 the	predicted
      3 the	practice
      3 the	population
      3 the	planet
      3 the	personal
      3 the	perceived
      3 the	patterns
      3 the	patrol
      3 the	paris
      3 the	out
      3 the	origination
      3 the	organization
      3 the	office
      3 the	obama
      3 the	numbers
      3 the	news
      3 the	multi
      3 the	motel
      3 the	modern
      3 the	messages
      3 the	meantime
      3 the	meaning
      3 the	longtime
      3 the	locations
      3 the	locals
      3 the	lives
      3 the	link
      3 the	limited
      3 the	level
      3 the	lead
      3 the	largest
      3 the	label
      3 the	la
      3 the	keys
      3 the	key
      3 the	jittery
      3 the	jewelry
      3 the	issue
      3 the	ira
      3 the	intrusion
      3 the	interstate
      3 the	instituto
      3 the	insights
      3 the	innocent
      3 the	informant
      3 the	implementation
      3 the	homeland
      3 the	homegrown
      3 the	heightened
      3 the	heels
      3 the	head
      3 the	harmful
      3 the	group
      3 the	grounds
      3 the	greater
      3 the	geography
      3 the	geographic
      3 the	freedom
      3 the	foreign
      3 the	force
      3 the	footage
      3 the	five
      3 the	false
      3 the	expansion
      3 the	expanding
      3 the	exercise
      3 the	exception
      3 the	era
      3 the	emergence
      3 the	eighth
      3 the	efficacy
      3 the	effect
      3 the	early
      3 the	earlier
      3 the	domestic
      3 the	discretion
      3 the	difficulty
      3 the	developmental
      3 the	detective
      3 the	degree
      3 the	death
      3 the	council
      3 the	commission
      3 the	columbine
      3 the	collateral
      3 the	coercive
      3 the	clothes
      3 the	click
      3 the	citizen
      3 the	central
      3 the	center
      3 the	category
      3 the	capability
      3 the	building
      3 the	broad
      3 the	boston
      3 the	black
      3 the	beginning
      3 the	basis
      3 the	available
      3 the	assault
      3 the	anonymous
      3 the	agent
      3 the	act
      3 the	accumulation
      3 that	young
      3 that	was
      3 that	those
      3 that	taps
      3 that	some
      3 that	schools
      3 that	record
      3 that	public
      3 that	provided
      3 that	prior
      3 that	predicts
      3 that	pranksters
      3 that	our
      3 that	one
      3 that	once
      3 that	officers
      3 that	none
      3 that	neighborhood
      3 that	more
      3 that	leads
      3 that	lead
      3 that	judging
      3 that	individuals
      3 that	increased
      3 that	government
      3 that	failure
      3 that	fail
      3 that	even
      3 that	cve
      3 that	black
      3 that	at
      3 that	arise
      3 that	any
      3 that	american
      3 that	allows
      3 thank	you
      3 than	those
      3 than	terrorist
      3 than	miles
      3 than	facilities
      3 than	do
      3 than	data
      3 than	countering
      3 than	cities
      3 than	are
      3 test	of
      3 test	into
      3 terry	and
      3 terry	a
      3 terrorists	win
      3 terrorist	watch
      3 terrorist	related
      3 terrorist	plots
      3 terrorist	n
      3 terrorist	event
      3 terrorist	actions
      3 terrorism	today
      3 terrorism	the
      3 terrorism	studies
      3 terrorism	strategy
      3 terrorism	restrict
      3 terrorism	prone
      3 terrorism	preventing
      3 terrorism	database
      3 terrorism	capabilities
      3 terrorism	advisers
      3 terror	threats
      3 terror	is
      3 terror	attacks
      3 terminals	to
      3 term	for
      3 tension	between
      3 temptation	to
      3 temperature	and
      3 television	broadcast
      3 telegraph	their
      3 tel	aviv
      3 technology	will
      3 technology	was
      3 technology	used
      3 technology	that
      3 technology	should
      3 technology	just
      3 technologies	to
      3 technologies	the
      3 technological	enhancements
      3 technological	capabilities
      3 technological	advances
      3 techniques	in
      3 tech	l
      3 taslitz	supra
      3 targets	of
      3 targets	it
      3 targeted	and
      3 target	the
      3 taps	into
      3 tanenhaus	supra
      3 tanenhaus	eds
      3 talking	chief
      3 talk	to
      3 taking	shape
      3 taking	place
      3 taken	together
      3 taipale	supra
      3 tag	was
      3 tactics	than
      3 tactics	sow
      3 tactics	and
      3 t	prevent
      3 t	passive
      3 t	http
      3 t	changed
      3 t	affairs
      3 system	that
      3 system	has
      3 system	analyzes
      3 sworn	in
      3 swiftly	dismissed
      3 swept	into
      3 suspicion	see
      3 suspicion	on
      3 suspicion	emory
      3 suspicion	cases
      3 suspicion	by
      3 suspicion	but
      3 suspicion	big
      3 suspicion	as
      3 suspicion	about
      3 suspects	who
      3 suspects	for
      3 suspects	but
      3 suspect	or
      3 suspect	by
      3 suspect	but
      3 survey	of
      3 surveillance	systems
      3 surfaced	and
      3 supra	section
      3 supra	at
      3 support	these
      3 support	an
      3 support	a
      3 supplemental	guidelines
      3 super	predators
      3 sunday	new
      3 suggested	that
      3 such	attacks
      3 successful	as
      3 substantial	compliance
      3 subject	of
      3 study	n
      3 studies	n
      3 students	are
      3 structural	racism
      3 strike	with
      3 streets	civil
      3 street	were
      3 street	the
      3 street	stops
      3 street	corner
      3 strategy	to
      3 strategy	the
      3 strategy	pdf
      3 strategy	n
      3 strategy	for
      3 strategies	n
      3 strangle	the
      3 straightforward	invest
      3 stories	of
      3 stored	by
      3 storage	and
      3 stops	the
      3 stops	that
      3 stops	of
      3 stops	in
      3 stopped	because
      3 stop	trusting
      3 stop	to
      3 stop	or
      3 stop	for
      3 stop	every
      3 stop	can
      3 stop	a
      3 sting	operations
      3 still	unknown
      3 still	be
      3 stigmatic	labels
      3 stigma	of
      3 steven	m
      3 stephen	j
      3 statutory	protections
      3 statistical	data
      3 station	house
      3 states	require
      3 states	has
      3 statement	supra
      3 state	university
      3 state	to
      3 state	police
      3 state	officials
      3 state	laws
      3 state	court
      3 stat	n
      3 stat	codified
      3 standing	on
      3 standard	n
      3 stage	arrest
      3 staffed	by
      3 ssrn	com
      3 spying	on
      3 spread	shock
      3 spots	and
      3 spit	and
      3 spillner	p
      3 specific	type
      3 specialized	community
      3 specialists	are
      3 specialist	david
      3 specialising	in
      3 spaces	and
      3 sow	anger
      3 southern	california
      3 sources	the
      3 sources	n
      3 sources	including
      3 sorna	tier
      3 sophisticated	predictive
      3 sophisticated	networks
      3 somini	sengupta
      3 somewhat	orwellian
      3 something	different
      3 some	police
      3 some	measure
      3 some	controversy
      3 somalia	are
      3 solution	to
      3 solove	security
      3 software	will
      3 software	n
      3 software	becomes
      3 society	more
      3 social	sentinel
      3 social	security
      3 social	order
      3 social	influence
      3 so	we
      3 so	as
      3 slobogin	transaction
      3 sleeper	cells
      3 slate	com
      3 skills	to
      3 size	of
      3 size	fits
      3 sixth	judicial
      3 six	additional
      3 site	of
      3 single	deadliest
      3 since	london
      3 since	and
      3 simply	getting
      3 simply	because
      3 simple	he
      3 similarly	the
      3 sikh	american
      3 sic	sales
      3 shutdowns	the
      3 shrugged	the
      3 shown	how
      3 showing	that
      3 show	that
      3 should	require
      3 should	have
      3 shorthand	label
      3 short	answer
      3 short	and
      3 shootings	in
      3 shootings	are
      3 shootings	and
      3 shoddily	written
      3 shock	waves
      3 shifts	the
      3 shift	has
      3 sheriff	l
      3 she	would
      3 sharing	the
      3 sharing	of
      3 sharing	and
      3 shared	with
      3 share	the
      3 shaping	the
      3 shape	the
      3 sex	offense
      3 several	states
      3 several	of
      3 seventh	circuit
      3 seven	terror
      3 services	n
      3 services	he
      3 services	can
      3 service	of
      3 serves	as
      3 served	as
      3 serve	to
      3 serve	is
      3 serve	everybody
      3 seriously	it
      3 sept	the
      3 sentinel	a
      3 sent	electronically
      3 sent	at
      3 sender	had
      3 senate	committee
      3 semple	muslims
      3 self	radicalised
      3 self	fulfilling
      3 selected	from
      3 seeking	the
      3 seeing	the
      3 see	what
      3 see	simmons
      3 see	robert
      3 see	raymond
      3 see	perry
      3 see	national
      3 see	huq
      3 see	fbi
      3 see	bernard
      3 see	berg
      3 security	regularly
      3 security	plans
      3 security	of
      3 security	law
      3 security	cameras
      3 security	agencies
      3 secure	in
      3 section	cities
      3 secondary	deviance
      3 sec	referring
      3 sec	div
      3 seattle	and
      3 searches	of
      3 searched	buildings
      3 search	a
      3 scrutiny	el
      3 schools	under
      3 schools	to
      3 schools	the
      3 schools	sent
      3 schools	municipalities
      3 schools	as
      3 schools	alert
      3 school	of
      3 scholars	and
      3 scattered	sections
      3 scare	so
      3 scans	and
      3 scale	of
      3 says	kilcullen
      3 says	it
      3 says	gary
      3 says	ethical
      3 says	counter
      3 saying	has
      3 say	f
      3 saw	this
      3 saw	sibron
      3 saturday	am
      3 satisfy	the
      3 san	bernardino
      3 sampson	supra
      3 same	types
      3 same	bomb
      3 same	behavior
      3 saint	paul
      3 said	video
      3 said	treat
      3 said	there
      3 said	that
      3 said	mr
      3 said	i
      3 said	adding
      3 sahar	f
      3 safety	officials
      3 s	whereabouts
      3 s	warning
      3 s	top
      3 s	th
      3 s	subjective
      3 s	stating
      3 s	something
      3 s	same
      3 s	record
      3 s	ranks
      3 s	primary
      3 s	predictive
      3 s	personal
      3 s	own
      3 s	noting
      3 s	not
      3 s	moreover
      3 s	mayor
      3 s	massive
      3 s	leaders
      3 s	juvenile
      3 s	holding
      3 s	global
      3 s	focus
      3 s	first
      3 s	finding
      3 s	fbi
      3 s	failure
      3 s	f
      3 s	determination
      3 s	citizenship
      3 s	attempt
      3 s	att
      3 s	arrest
      3 s	appointment
      3 s	already
      3 ruth	appell
      3 rushin	supra
      3 running	a
      3 rules	n
      3 rules	for
      3 routing	traffic
      3 routine	to
      3 routed	electronically
      3 roundtables	with
      3 roper	u
      3 rome	were
      3 roll	out
      3 rocked	by
      3 roberts	supra
      3 robbery	arrests
      3 robberies	in
      3 risk	without
      3 rio	de
      3 rights	n
      3 right	in
      3 richard	florida
      3 richard	a
      3 reynoso	who
      3 reynoso	says
      3 reynoso	joins
      3 reynoso	as
      3 reviewing	the
      3 reveal	previously
      3 rev	noting
      3 rev	length
      3 rev	forthcoming
      3 rev	a
      3 retention	of
      3 retention	and
      3 results	of
      3 results	from
      3 restoring	fourth
      3 rest	about
      3 responsive	to
      3 responsibility	to
      3 responsibility	for
      3 responding	to
      3 responded	in
      3 respond	unfortunately
      3 respectively	by
      3 respectful	manner
      3 resource	for
      3 resource	allocation
      3 resorted	to
      3 resilient	in
      3 researchers	have
      3 research	director
      3 res	crime
      3 requiring	the
      3 requires	that
      3 requires	police
      3 requirements	for
      3 requirement	would
      3 required	the
      3 required	nexus
      3 required	for
      3 require	the
      3 require	police
      3 representatives	of
      3 reports	on
      3 reporting	the
      3 reportedly	mapping
      3 report	that
      3 report	of
      3 report	from
      3 report	federal
      3 replaced	by
      3 repeat	burglaries
      3 rep	no
      3 removed	from
      3 religious	or
      3 religious	cultures
      3 reliability	and
      3 relevance	of
      3 released	fbi
      3 relationships	it
      3 relationship	with
      3 relationship	and
      3 relations	service
      3 relations	mpac
      3 related	where
      3 related	research
      3 related	deaths
      3 reinforcements	to
      3 regularly	issues
      3 reg	jan
      3 refuse	to
      3 reforms	that
      3 reflections	on
      3 reflect	the
      3 referral	petition
      3 reference	to
      3 reduce	gun
      3 reduce	blast
      3 redacted	fbi
      3 red	flags
      3 recruits	and
      3 recruitment	and
      3 recruit	is
      3 recounting	the
      3 records	with
      3 records	they
      3 records	the
      3 records	that
      3 records	in
      3 records	have
      3 record	to
      3 record	or
      3 record	is
      3 recognized	that
      3 recognize	that
      3 recognition	of
      3 recognition	database
      3 recidivism	risk
      3 recidivism	n
      3 recently	the
      3 recently	released
      3 recent	study
      3 reasons	including
      3 reasonableness	of
      3 reasonable	to
      3 reason	of
      3 really	is
      3 reality	the
      3 reality	that
      3 reality	of
      3 real	world
      3 real	question
      3 real	or
      3 real	costs
      3 reaction	to
      3 reaction	seemed
      3 reacted	very
      3 reach	into
      3 re	there
      3 re	routing
      3 rates	n
      3 rates	for
      3 rate	of
      3 rap	sheet
      3 ranks	reynoso
      3 ranked	baghdad
      3 ramzi	kassem
      3 ramadi	as
      3 raise	grave
      3 railway	authorities
      3 radicalization	volume
      3 radicalization	the
      3 radicalization	or
      3 radicalization	is
      3 radicalised	actors
      3 racial	stereotypes
      3 racial	disparities
      3 race	in
      3 race	crime
      3 race	class
      3 quintero	agreed
      3 quickly	and
      3 questioned	by
      3 question	the
      3 quantity	of
      3 quantities	of
      3 quantitative	evidence
      3 quantitative	criminology
      3 qualities	of
      3 qualifying	criteria
      3 qaida	and
      3 public	the
      3 public	scrutiny
      3 public	n
      3 public	expects
      3 public	discourse
      3 psychology	experiment
      3 psychological	harm
      3 pseudophedrine	sic
      3 proxies	for
      3 provisions	protect
      3 provides	an
      3 provide	the
      3 provide	some
      3 provide	personal
      3 provide	opportunities
      3 protective	space
      3 protections	n
      3 protection	n
      3 protection	from
      3 protecting	critical
      3 protect	and
      3 proof	cctv
      3 prone	it
      3 project	of
      3 programs	will
      3 programs	that
      3 programmes	the
      3 programmes	says
      3 program	as
      3 profiles	of
      3 profiles	are
      3 profile	terrorist
      3 profile	of
      3 professional	manner
      3 processes	in
      3 process	the
      3 process	reynoso
      3 process	of
      3 process	n
      3 process	from
      3 proceedings	were
      3 procedures	in
      3 problems	that
      3 problems	of
      3 problems	in
      3 problem	oriented
      3 privatizing	criminal
      3 private	parties
      3 private	information
      3 private	individuals
      3 private	company
      3 privacy	see
      3 privacy	legislation
      3 privacy	is
      3 prior	to
      3 prior	contact
      3 principles	of
      3 principle	grounded
      3 primary	focus
      3 price	tag
      3 previously	unseen
      3 previously	unknown
      3 preventive	policing
      3 prevention	and
      3 preventing	over
      3 preventing	attacks
      3 preventative	theories
      3 prevent	violence
      3 prevent	radicalization
      3 prevent	new
      3 prevailing	conception
      3 pretextual	interviews
      3 presumption	of
      3 pressure	to
      3 preserve	a
      3 presented	to
      3 presence	on
      3 preference	for
      3 preexisting	law
      3 predpol	the
      3 predicts	crime
      3 predictive	reasonable
      3 predictive	judgments
      3 prediction	of
      3 predicting	crimes
      3 predict	where
      3 predict	when
      3 predicated	on
      3 pre	employment
      3 pranksters	or
      3 practices	to
      3 practices	must
      3 practices	are
      3 practice	or
      3 practice	materials
      3 powerful	tool
      3 power	n
      3 power	leading
      3 power	in
      3 powell	a
      3 potentially	exculpatory
      3 potential	uses
      3 potential	suspects
      3 potential	of
      3 potential	jihadi
      3 post	sept
      3 post	paris
      3 post	oct
      3 post	june
      3 post	era
      3 post	dec
      3 possible	to
      3 possible	separate
      3 posits	that
      3 posits	a
      3 positive	police
      3 population	in
      3 poor	urban
      3 politics	and
      3 political	views
      3 political	issues
      3 political	engagement
      3 policy	of
      3 policy	n
      3 policy	in
      3 policing	with
      3 policing	while
      3 policing	whether
      3 policing	that
      3 policing	techniques
      3 policing	into
      3 policing	initiative
      3 policing	inflected
      3 policing	gets
      3 policing	from
      3 policing	crime
      3 policing	broken
      3 policing	based
      3 police	would
      3 police	william
      3 police	veteran
      3 police	the
      3 police	stopped
      3 police	shootings
      3 police	scrutiny
      3 police	say
      3 police	professionalism
      3 police	often
      3 police	officials
      3 police	of
      3 police	observation
      3 police	not
      3 police	is
      3 police	gang
      3 police	during
      3 police	deploy
      3 police	administrators
      3 points	to
      3 points	in
      3 pointing	out
      3 pointed	to
      3 point	for
      3 plots	since
      3 plots	in
      3 play	an
      3 plate	reader
      3 plastic	bags
      3 plans	within
      3 planet	urban
      3 plan	supra
      3 places	that
      3 place	data
      3 piomi	there
      3 physical	policing
      3 physical	barriers
      3 photograph	of
      3 phone	companies
      3 pew	research
      3 petition	detention
      3 pervasive	us
      3 persons	who
      3 persons	houses
      3 personnel	to
      3 person	or
      3 person	of
      3 perpetrators	who
      3 perhaps	the
      3 perhaps	even
      3 perfect	match
      3 perceived	to
      3 people	were
      3 people	on
      3 people	need
      3 pennsylvania	law
      3 pdf	memorandum
      3 pdf	hereinafter
      3 pdf	documenting
      3 paul	vitello
      3 patrols	were
      3 patrol	officers
      3 patrol	cars
      3 patel	supra
      3 past	years
      3 past	experience
      3 passive	for
      3 pass	up
      3 pass	between
      3 party	records
      3 party	data
      3 parties	n
      3 parties	and
      3 particularized	information
      3 particular	religious
      3 particular	crime
      3 particular	age
      3 partial	search
      3 part	v
      3 part	on
      3 part	because
      3 park	police
      3 paris	the
      3 paris	killings
      3 panicky	reaction
      3 pakistani	community
      3 pakistan	and
      3 p	n
      3 p	m
      3 own	right
      3 overreacting	la
      3 over	children
      3 over	and
      3 outside	a
      3 outreach	with
      3 outreach	programs
      3 outfit	its
      3 out	up
      3 out	to
      3 out	a
      3 our	urban
      3 our	officers
      3 our	nation
      3 our	increasingly
      3 our	eyes
      3 otherwise	unknown
      3 others	have
      3 others	are
      3 other	internet
      3 other	groups
      3 other	factors
      3 other	community
      3 other	areas
      3 orwellian	hopes
      3 ornelas	s
      3 origination	of
      3 or	us
      3 or	social
      3 or	sleeper
      3 or	political
      3 or	parole
      3 or	may
      3 or	law
      3 or	inclusion
      3 or	in
      3 or	her
      3 or	have
      3 or	gang
      3 or	for
      3 or	expunged
      3 or	discrimination
      3 or	destruction
      3 or	database
      3 or	dangerous
      3 or	any
      3 or	an
      3 or	alcohol
      3 or	adjudicated
      3 opposing	fashion
      3 opportunity	i
      3 operatives	in
      3 operations	n
      3 op	ed
      3 only	when
      3 only	on
      3 only	of
      3 online	wsj
      3 online	or
      3 online	n
      3 one	size
      3 one	sided
      3 one	n
      3 one	might
      3 one	expert
      3 one	could
      3 once	the
      3 on	what
      3 on	to
      3 on	some
      3 on	similar
      3 on	schools
      3 on	religious
      3 on	public
      3 on	privacy
      3 on	personal
      3 on	particular
      3 on	parole
      3 on	n
      3 on	more
      3 on	minority
      3 on	local
      3 on	islamist
      3 on	individual
      3 on	federal
      3 on	communities
      3 on	am
      3 on	african
      3 on	adults
      3 on	account
      3 omitted	id
      3 omar	alomari
      3 oklahoma	in
      3 ojjdp	gov
      3 ohio	years
      3 ohio	dep
      3 officials	to
      3 officials	the
      3 officials	searched
      3 officials	existing
      3 officials	are
      3 offices	have
      3 officers	would
      3 officers	subjective
      3 officers	reynoso
      3 officers	may
      3 officers	knew
      3 officers	he
      3 officer	ohio
      3 officer	observes
      3 officer	n
      3 office	to
      3 office	in
      3 office	fbi
      3 offered	a
      3 offer	a
      3 offense	to
      3 offending	peaks
      3 offenders	so
      3 offenders	in
      3 offender	the
      3 offender	status
      3 offender	s
      3 offender	registry
      3 offender	n
      3 offender	information
      3 of	who
      3 of	warnings
      3 of	wall
      3 of	using
      3 of	unknown
      3 of	unease
      3 of	transcontinental
      3 of	times
      3 of	three
      3 of	threats
      3 of	terrorist
      3 of	terror
      3 of	technologies
      3 of	technological
      3 of	street
      3 of	stored
      3 of	stops
      3 of	stop
      3 of	states
      3 of	some
      3 of	similar
      3 of	shoddily
      3 of	separation
      3 of	saint
      3 of	s
      3 of	robbery
      3 of	rights
      3 of	restitution
      3 of	respectability
      3 of	research
      3 of	registered
      3 of	recent
      3 of	providing
      3 of	protecting
      3 of	prevention
      3 of	practices
      3 of	persons
      3 of	pennsylvania
      3 of	particularized
      3 of	omar
      3 of	mobile
      3 of	minority
      3 of	michael
      3 of	meridian
      3 of	maryland
      3 of	london
      3 of	local
      3 of	likely
      3 of	judicial
      3 of	isis
      3 of	iraq
      3 of	involvement
      3 of	intimidation
      3 of	individual
      3 of	identifying
      3 of	habit
      3 of	gated
      3 of	first
      3 of	financial
      3 of	explosives
      3 of	evidence
      3 of	engagement
      3 of	employers
      3 of	education
      3 of	deterrence
      3 of	damage
      3 of	current
      3 of	criminality
      3 of	contemporary
      3 of	consumer
      3 of	computers
      3 of	columbia
      3 of	chicago
      3 of	change
      3 of	certain
      3 of	cases
      3 of	cars
      3 of	car
      3 of	bullying
      3 of	bias
      3 of	becoming
      3 of	analysis
      3 of	actual
      3 of	active
      3 of	accuracy
      3 of	access
      3 october	alone
      3 oct	available
      3 occurring	in
      3 occur	elsewhere
      3 observe	a
      3 objectively	reasonable
      3 object	of
      3 o	monaco
      3 nypd	spying
      3 nypd	report
      3 nypd	intelligence
      3 numbers	of
      3 nsa	chief
      3 npr	july
      3 now	has
      3 notre	dame
      3 notion	that
      3 notion	of
      3 notify	law
      3 notification	requirements
      3 notification	procedures
      3 notification	act
      3 notice	that
      3 note	that
      3 not	without
      3 not	well
      3 not	terrorists
      3 not	slim
      3 not	see
      3 not	publicly
      3 not	protected
      3 not	pass
      3 not	one
      3 not	offer
      3 not	much
      3 not	many
      3 not	every
      3 not	enough
      3 not	destroy
      3 not	create
      3 not	children
      3 not	automatic
      3 not	allow
      3 norms	and
      3 normal	part
      3 none	of
      3 non	homicide
      3 no	notice
      3 no	matter
      3 no	good
      3 no	fly
      3 no	empirical
      3 nigeria	pakistan
      3 next	part
      3 next	generation
      3 next	few
      3 newspaper	group
      3 news	sept
      3 news	mar
      3 news	length
      3 new	technology
      3 new	security
      3 new	piece
      3 new	of
      3 new	el
      3 new	attacks
      3 nevertheless	the
      3 nevertheless	cities
      3 networked	databases
      3 neighborhoods	has
      3 neighborhood	n
      3 neighborhood	in
      3 neighborhood	as
      3 necessary	n
      3 nearly	a
      3 near	future
      3 ndis	statistics
      3 nbcnews	com
      3 national	gang
      3 n	under
      3 n	tanenhaus
      3 n	such
      3 n	state
      3 n	sorna
      3 n	software
      3 n	silber
      3 n	shamas
      3 n	sampson
      3 n	s
      3 n	richard
      3 n	phone
      3 n	perhaps
      3 n	not
      3 n	national
      3 n	nance
      3 n	murphy
      3 n	miller
      3 n	michael
      3 n	memorandum
      3 n	mcfadden
      3 n	maroney
      3 n	likewise
      3 n	kupchik
      3 n	k
      3 n	joseph
      3 n	jennifer
      3 n	implicit
      3 n	html
      3 n	hensley
      3 n	graham
      3 n	given
      3 n	franklin
      3 n	florida
      3 n	fed
      3 n	evidence
      3 n	empowering
      3 n	electronic
      3 n	each
      3 n	dhs
      3 n	despite
      3 n	david
      3 n	databasing
      3 n	data
      3 n	daniel
      3 n	counterradicalization
      3 n	compare
      3 n	coffee
      3 n	chief
      3 n	charles
      3 n	bureau
      3 n	brown
      3 n	broken
      3 n	brief
      3 n	arun
      3 n	an
      3 n	allen
      3 n	akbar
      3 must	consider
      3 muslims	were
