of documents 1 of 1
breakdown of community 1 1
brennan j dissenting 3 1
brief history of 1 1
brief overview of 2 1
brief period of 1 1
briefing it getting 1 1
briefly describes the 1 1
briefly detain a 1 2
briefly detain an 1 1
brinegar v united 3 3
bring about substantial 1 2
brit j criminology 5 2
british medical journal 1 1
broad array of 1 1
broader range of 1 1
broken down by 1 1
broken windows and 8 1
broken windows are 1 1
broken windows article 1 1
broken windows atlantic 1 1
broken windows n 3 5
broken windows new 3 2
broken windows or 2 1
broken windows policing 46 8
broken windows the 6 3
broken windows theory 54 28
brokering criminological theory 1 1
brook l rev 3 1
brother in law 1 2
brought to bear 1 3
brought to the 1 1
brought with it 4 3
brown attache case 1 1
brown plymouth station 1 2
brown u s 3 1
brown v plata 1 4
brown v texas 9 1
bruce western punishment 1 1
bruce western the 1 1
brutality and racism 1 1
budget and personnel 1 11
budget cuts n 1 2
buff crim l 2 2
buff l rev 1 1
buffalo new york 1 1
build a better 1 1
building blocks of 3 2
built into the 5 1
built on the 2 1
burbank police department 2 1
burden on the 1 1
burdens imposed by 1 1
bureau of investigation 52 1
bureau of justice 23 15
bureau of labor 1 1
burglaries and near 1 1
burglaries are contagious 1 1
burglaries are likely 1 2
burglaries are much 1 1
burglaries eur j 2 1
burglaries n in 1 1
burglaries the residential 1 2
burglary and robbery 1 2
burglary between and 1 1
burglary car theft 1 1
burglary j res 1 1
burglary not only 1 2
burglary the homes 1 1
burglary victimisation a 1 1
burglary victimization j 2 1
burgled for a 1 1
burgled home but 1 1
bus of gov 1 2
bus stop and 1 1
bus times sept 1 1
business and the 1 1
business how big 1 1
business la fi 2 2
business of government 1 1
business police intelligence 1 1
business time com 1 1
businesses and residents 1 1
businessofgovernment org sites 2 2
businessweek com technology 1 1
businessweek dec http 1 1
but a few 1 1
but according to 3 2
but also because 3 1
but also for 6 1
but also has 2 1
but also in 7 1
but also on 1 1
but also some 1 1
but also the 4 3
but also to 13 3
but are not 4 1
but as with 3 1
but because of 5 3
but because the 3 1
but because they 4 1
but big data 1 1
but by the 1 1
but could also 2 1
but could be 2 1
but does it 1 1
but even the 2 1
but for the 3 5
but given the 1 1
but how these 1 1
but i do 2 1
but i think 1 1
but if even 1 1
but if the 6 2
but in a 3 4
but in an 1 1
but in practice 1 1
but in the 1 1
but is not 2 1
but it also 9 1
but it can 5 7
but it does 1 1
but it doesn 1 2
but it has 5 1
but it is 31 10
but it may 6 2
but it often 1 1
but it rarely 2 1
but it s 11 3
but it will 4 1
but it would 3 1
but its potential 3 1
but may be 1 1
but not all 2 1
but not in 3 1
but not limited 2 2
but not necessarily 1 2
but not perfectly 1 1
but not the 1 1
but not to 1 1
but nothing rules 1 1
but on a 1 1
but one of 5 1
but only if 4 2
but over time 1 1
but perhaps the 1 1
but practical traditional 1 1
but rather a 2 2
but rather as 1 1
but rather that 1 1
but rather the 2 1
but rather to 2 1
but see douglas 1 1
but see e 2 1
but see id 1 1
but see united 1 1
but some don 1 1
but that it 1 3
but that the 4 1
but that they 1 1
but the business 1 1
but the court 2 3
but the fourth 1 1
but the information 1 1
but the most 1 2
but the number 1 1
but the process 1 3
but the questions 1 1
but the reality 3 2
but the same 1 1
but the underlying 4 1
but the use 2 1
but there are 7 3
but there has 1 1
but there is 7 2
but there s 4 2
but they are 6 5
but they cannot 1 2
but they demonstrate 1 1
but they do 1 1
but they may 1 1
but they would 1 1
but this is 8 4
but this process 1 2
but to do 1 1
but upon probable 2 1
but we do 5 1
but we have 1 2
but with a 2 1
but with big 1 1
but with the 3 1
by a combination 2 1
by a computer 3 3
by a court 2 1
by a deep 1 1
by a desire 1 1
by a federal 4 2
by a few 1 1
by a lack 2 1
by a number 2 1
by a particular 1 1
by a police 3 3
by a significant 1 1
by a team 4 1
by a third 1 2
by adding a 1 1
by an algorithm 2 1
by an average 4 1
by an officer 2 1
by an unknown 1 1
by and large 2 1
by and property 1 2
by any other 1 1
by any stretch 1 1
by articulable facts 1 2
by big data 16 1
by both police 1 1
by both the 3 1
by case basis 3 1
by center for 1 1
by court order 1 1
by courts and 1 1
by creating a 3 3
by establishing a 1 1
by experimenting with 1 1
by explaining why 1 1
by far the 1 4
by federal law 2 1
by field officers 1 1
by for example 1 1
by government agencies 4 1
by he was 1 1
by identifying those 1 1
by individuals or 1 1
by it is 1 2
by its very 3 1
by judges and 1 1
by law enforcement 38 4
by local law 2 1
by looking at 1 1
by means of 1 3
by members of 5 2
by microsoft on 1 2
by no means 5 4
by numbers big 4 1
by offering the 1 1
by officers on 2 1
by one of 1 1
by our society 1 1
by percent in 1 1
by persons with 1 1
by police and 9 2
by police courts 2 1
by police departments 3 3
by police n 6 1
by police officers 22 4
by predicting it 1 2
by predicting the 1 1
by private companies 3 1
by private sector 1 1
by providing a 3 1
by providing the 1 2
by reviewing the 1 1
by scientists at 2 2
by searching for 1 1
by searching the 1 1
by square foot 1 2
by state law 1 1
by state v 1 1
by syndigate media 1 1
by that person 1 1
by the american 1 1
by the center 2 2
by the city 8 6
by the community 1 1
by the county 5 12
by the court 7 9
by the courts 6 2
by the crime 1 1
by the criminal 6 3
by the department 8 1
by the early 7 2
by the effects 2 1
by the electronic 2 1
by the end 2 7
by the fact 4 4
by the federal 12 1
by the fourteenth 2 1
by the fourth 9 3
by the government 10 11
by the great 1 2
by the hour 1 1
by the human 2 1
by the increased 1 1
by the lapd 1 14
by the late 3 1
by the law 3 3
by the los 1 12
by the national 3 1
by the new 4 3
by the number 1 5
by the numbers 2 1
by the nypd 13 2
by the officer 5 3
by the officers 3 3
by the original 2 1
by the police 42 24
by the recent 4 11
by the researcher 1 3
by the rise 2 1
by the rule 1 1
by the s 5 1
by the same 2 3
by the santa 1 2
by the state 6 2
by the suspect 2 2
by the term 1 1
by the time 8 4
by the turn 1 1
by the u 5 4
by the united 2 1
by the university 3 3
by the us 2 2
by the use 7 2
by third parties 3 2
by those who 1 4
by up to 2 3
by using a 2 3
by using data 1 1
by using the 3 1
by which that 2 1
by which the 5 1
by working with 1 1
bystanders in a 1 1
byte out of 1 2
byu l rev 2 2
c b a 3 2
c d c 1 1
c d cal 5 2
c davis et 1 1
c davis school 1 2
c emergency management 1 1
c georgetown law 1 1
c government technology 2 2
c herbert can 2 1
c l a 1 1
c l l 16 4
c l rev 17 4
c lexisnexis n 1 1
c n id 6 2
c noting that 2 1
c r c 19 4
c story html 2 1
c the university 1 1
cal ct app 2 1
cal l rev 19 3
cal mun code 2 1
cal rptr d 3 2
calif at www 1 4
calif l rev 30 4
calif section state 1 4
calif visit the 1 4
california distributed by 1 4
california for example 1 1
california irvine school 1 1
california los angeles 7 12
california n the 2 1
california the police 1 2
california u s 6 4
california v acevedo 1 1
california v ciraolo 2 5
call concerning j 1 1
call for a 2 1
call the police 10 6
called for a 2 1
called for in 2 1
called for the 1 2
called hot spots 1 1
called in to 1 2
called into question 1 3
called predictive analytics 1 1
called predictive policing 4 2
called the police 2 1
caller reported to 1 1
calling attention to 1 1
calling the police 1 2
calls for service 11 17
calls from the 1 1
calls out for 1 1
calls such as 2 2
camargo f d 1 8
came on the 3 1
came to be 5 1
came to believe 1 1
came to the 1 3
came up with 2 3
camera surveillance of 2 2
cameras n the 2 1
cameras placed in 1 1
cameras roll mandatory 1 1
campbell systematic reviews 2 4
can achieve the 1 1
can act as 1 1
can allow for 1 1
can also be 18 3
can also predict 1 1
can alter the 1 1
can and should 6 1
can arise from 1 1
can be a 20 5
can be accessed 1 2
can be accomplished 2 1
can be adjusted 1 1
can be an 1 1
can be analyzed 2 1
can be attributed 3 1
can be based 2 2
can be brought 1 2
can be challenging 1 2
can be compared 1 2
can be considered 1 4
can be derived 1 1
can be detected 2 2
can be done 3 1
can be evaluated 1 1
can be expected 1 1
can be explained 4 3
can be extended 3 1
can be extremely 1 1
can be found 16 3
can be generated 1 1
can be identified 5 5
can be imposed 1 1
can be justified 3 2
can be kept 1 1
can be matched 1 2
can be more 2 5
can be particularly 2 1
can be predicted 1 3
can be quickly 1 1
can be quite 1 2
can be reached 3 1
can be recorded 1 1
can be said 3 2
can be seen 9 5
can be substantial 1 1
can be taken 1 2
can be targeted 1 1
can be the 1 1
can be used 36 14
can be useful 3 1
can be viewed 3 1
can begin to 1 1
can communicate with 1 2
can computers predict 2 1
can create a 2 3
can develop a 1 2
can do anything 2 1
can do so 3 1
can do the 1 1
can do to 4 2
can easily be 5 2
can evaluate the 1 1
can ever be 1 1
can evolve into 1 1
can factor into 2 1
can get the 2 2
can grow stale 1 1
can have a 3 4
can help police 2 1
can help predict 1 1
can help us 1 2
can identify a 3 3
can improve the 4 1
can lead to 18 7
can make an 1 1
can make the 2 1
can make up 1 1
can no longer 2 2
can only be 4 1
can play a 4 2
can play an 1 1
can predict crime 1 1
can predict that 1 1
can provide a 4 1
can reasonably be 2 1
can reduce the 1 1
can result in 6 1
can see the 1 1
can serve as 6 1
can software that 3 2
can sometimes be 1 2
can still be 2 1
can stop and 1 1
can t even 1 2
can t have 1 1
can t make 2 1
can t you 2 1
can take a 3 1
can thus be 1 1
can use the 3 1
can use their 1 2
can use to 2 1
can we do 1 1
can we learn 3 2
cannot afford to 6 2
cannot and should 2 1
cannot be the 1 2
cannot reasonably be 1 1
cannot rely on 2 1
capable of sending 1 1
capacity to make 1 1
capers rethinking the 1 1
capers supra note 1 1
caplan et al 4 8
caplan mapping the 1 1
captured by the 2 1
captured in standard 3 1
captured in the 1 1
car break ins 2 1
car computers and 2 2
car n in 1 1
car n see 1 1
car n the 1 1
car theft and 1 1
cardozo l rev 6 2
care n see 1 1
carol s steiker 2 1
carpiniello note striking 1 1
carried out by 2 1
carried out in 2 1
carrying a gun 1 2
carrying a systematic 1 1
carrying a weapon 4 1
case by case 11 4
case can be 1 2
case for an 1 1
case for caution 2 2
case for the 2 1
case goes to 1 2
case in a 1 1
case in point 1 1
case in which 3 6
case involved a 1 1
case it has 1 1
case law to 1 1
case of an 1 1
case of the 8 2
case of united 1 1
case study in 1 1
case study of 6 3
case the absence 1 1
case the court 4 1
case to see 1 1
case w res 2 1
case we conclude 1 1
cases a study 1 1
cases and materials 3 1
cases are handled 1 1
cases are not 1 1
cases as well 1 1
cases come to 1 1
cases for the 1 2
cases in a 1 1
cases in which 12 9
cases is a 1 1
cases n see 1 2
cases that are 1 1
cases that have 1 1
cases the court 1 2
cases where the 2 1
cass r sunstein 4 1
catch someone in 1 2
categorical judgments supreme 1 1
category of the 1 3
cath u l 3 1
cato sup ct 1 1
caught up in 2 1
caught up with 2 1
causal investigations and 1 1
causal relationship between 1 1
cause and reasonable 1 3
cause and requires 2 2
cause and the 1 1
cause deals with 1 1
cause determination n 1 1
cause does not 2 2
cause for a 1 1
cause in the 1 2
cause is dependent 1 1
cause n in 1 2
cause n see 2 1
cause n the 3 1
cause of the 1 1
cause or reasonable 3 3
cause reasonable suspicion 1 2
cause standard is 2 2
cause tex l 3 1
cause to arrest 6 2
cause to believe 8 2
cause to justify 1 1
cause to search 3 1
caused an increase 1 1
causes of crime 3 2
caution in the 2 1
caution mich l 2 2
cbsnews com news 5 1
cc c html 1 2
cell phones and 1 1
cell phones n 1 1
cell site data 3 1
cent drop in 1 5
center the strip 1 1
centers for disease 2 2
central role in 6 2
central to the 10 4
century fox n 1 1
certain areas of 1 1
certain aspects of 4 1
certain communities that 1 1
certain crimes and 1 1
certain crimes in 1 1
certain degree of 1 1
certain distance of 3 1
certain environmental factors 1 2
certain forms of 1 1
certain high risk 1 1
certain kinds of 3 4
certain level of 4 1
certain period of 3 2
certain point in 1 1
certain property crimes 3 1
certain type of 1 1
certain types of 10 6
cf andrew e 1 1
cf id at 2 1
cf united states 2 3
cfm abstract id 7 1
cfm fuseaction display 2 2
chadwick u s 2 1
chain of command 7 1
chainey et al 2 3
chains to investment 1 1
challenge to the 3 3
challenges faced by 1 2
challenges for the 1 1
challenges in the 2 1
challenges posed by 3 1
challenges that they 1 1
challenges to the 5 3
chance of a 2 1
chance of being 5 1
chance of success 1 1
chances of being 1 1
change has been 1 1
change in how 1 1
change in policing 1 1
change in the 11 2
change in three 3 2
change is likely 1 1
change n see 1 2
change the reasonable 2 1
changed the way 1 1
changes in crime 3 1
changes in the 9 4
changes to the 8 5
changes to their 1 1
changing face of 1 1
changing role of 1 1
changing the way 2 1
character of a 5 1
character of an 1 2
character of the 5 2
characteristics are established 1 1
characteristics of a 1 4
characteristics of the 6 2
characteristics or actions 1 1
characteristics such as 6 1
characteristics that are 1 1
characterization of a 2 1
characterized as a 3 1
characterized by a 4 1
characterizing the government 1 1
charged with a 3 1
charged with murder 1 1
charges against a 1 2
charges against the 5 2
charles duhigg how 1 1
charles l becton 1 1
charlie beck colleen 3 2
charlie beck said 1 2
charlotte mecklenburg police 1 1
charlotte north carolina 1 2
checks and balances 2 1
checks that constrain 1 2
chi l j 4 1
chi l rev 23 9
chi legal f 5 1
chi trib aug 3 1
chi trib oct 1 1
chicago and los 3 11
chicago and the 2 1
chicago criminal courts 1 1
chicago illinois n 1 1
chicago police department 31 5
chicago police use 2 1
chicago university of 1 9
chicagotribune com news 3 2
chicagounbound uchicago edu 1 1
chief charlie beck 4 6
chief chris magnus 1 2
chief in the 1 1
chief information officer 1 1
chief justice roberts 3 4
chief nov http 2 1
chief of police 16 4
chief of the 5 16
chief says predictive 2 1
chief steve clark 1 2
chief william bratton 1 16
chiefs of police 7 2
child in the 2 1
children families and 1 1
chills associational and 1 2
chinese restaurant and 1 1
choices about how 2 2
choices made by 2 3
choose not to 1 5
choose whether to 1 1
choosing random targets 1 1
christian science monitor 3 1
christian science publishing 2 1
christopher s koper 1 1
christopher slobogin david 1 1
christopher slobogin government 1 1
christopher slobogin has 2 2
christopher slobogin privacy 2 1
christopher slobogin public 2 2
christopher slobogin the 1 2
chronologically reveal crime 1 1
chrysanthi s leon 2 1
church the gay 1 1
cin l rev 1 3
ciocentral big data 1 1
cir en banc 5 3
cir holding that 9 3
cir n id 6 3
cir n see 22 5
cir n united 3 1
cir united states 1 9
ciraolo u s 2 5
circuit held that 2 1
circumstances analysis for 1 1
circumstances are sufficiently 1 4
circumstances in which 3 1
circumstances n in 1 2
circumstances n the 1 1
circumstances of each 1 1
circumstances of the 3 2
circumstances test n 2 1
circumstances the anonymous 1 1
circumstances the whole 3 2
circumstances under which 1 1
citation omitted n 12 10
citation omitted quoting 3 1
citations omitted a 1 1
citations omitted n 13 9
citations omitted see 1 2
cited as a 1 1
cited in the 2 2
cities and their 1 1
cities and towns 1 1
cities are also 1 1
cities frequently called 1 1
cities in the 4 4
cities including los 1 1
cities increase surveillance 1 1
cities on the 3 1
cities such as 10 10
cities that have 2 1
cities throughout the 1 2
cities with a 1 1
citing adams v 1 3
citing state v 1 1
citing statistics that 1 1
citing united states 4 4
citing warden v 1 1
citizen complaints against 3 1
citizen perceptions of 1 1
citizen s personal 1 1
citizens based on 1 1
citizens in the 1 1
citizens n second 1 1
citizens united v 1 2
citizens who were 5 1
citizens with a 1 1
citizenship and the 1 1
citron technological due 2 1
citron the right 1 1
city and a 3 2
city and its 1 1
city attorney s 1 1
city chicago and 3 1
city comparison of 1 1
city cops to 1 1
city crime drop 2 1
city for example 6 1
city has a 2 1
city he said 1 1
city in the 5 5
city is a 1 1
city kansas city 1 1
city length words 1 1
city los angeles 1 1
city n a 3 1
city n y 3 1
city new york 4 3
city of chicago 12 1
city of indianapolis 2 1
city of los 18 3
city of minneapolis 1 1
city of n 1 1
city of new 52 5
city of oakland 1 1
city of paterson 1 1
city of richmond 2 2
city of san 2 1
city of seattle 7 2
city police department 24 13
city police departments 2 2
city police officers 1 3
city s crime 5 3
city s police 6 5
city s policy 1 1
city s population 3 1
city s predictive 1 1
city s public 2 1
city s stop 2 1
city s street 1 1
city s violent 1 1
city see also 1 1
city social experiment 2 2
city story j 2 1
city that became 2 1
city the nypd 1 1
city to use 1 3
city transit police 1 1
city where the 1 1
cityscape no at 1 1
citywide crime trends 1 1
citywide robbery trends 1 2
civil and criminal 6 1
civil criminal distinction 2 1
civil liberties and 1 2
civil liberties in 1 2
civil liberties of 1 1
civil liberties union 28 15
civil liberties with 1 1
civil or criminal 1 4
civil rights and 10 1
civil rights complaints 1 2
civil rights groups 3 4
civil war and 1 1
cjis ucr crime 8 1
cjis ucr ucr 2 1
claim in the 1 1
claim that it 2 1
claim that the 2 3
claiming that the 1 1
claims of public 2 1
claims of the 1 1
claims that the 5 2
clara computer high 2 1
clara university and 1 3
clark said the 2 1
clarke school of 2 1
class and to 1 1
class in the 5 1
class inequality in 1 1
class n see 2 2
class u s 1 1
clause of the 8 2
clear however that 1 1
clear implications for 2 1
clear in the 1 1
clear that the 5 2
clear that this 4 1
clear that what 1 1
click awa y 1 1
clicking into crimes 1 1
clinic the aids 1 1
close attention to 1 3
close case we 1 1
closed circuit television 1 1
closely at the 1 1
closely tied to 2 1
closely with the 4 6
closer look at 3 1
closer to the 2 1
club the criminal 1 1
clusters hotspots and 1 2
clusters or dissipates 1 1
cmty oriented policing 2 11
cnn com politics 3 1
cnn com tech 2 1
cnn com us 1 1
co author of 7 1
co ltd all 3 1
co nstitutional muster 1 1
co uk news 1 2
co v united 3 3
coase sandor inst 1 1
cocaine inside a 1 1
code ann a 3 1
code ann pub 4 1
code em copyright 1 1
code gt copyright 2 2
code iii copyright 1 2
codified as amended 6 2
codified at u 8 1
codis and ndis 2 1
codis codis and 2 1
codis ndis statistics 6 2
codis program and 2 1
cody w telep 2 1
cognitive obstacles to 2 2
cognizant of the 3 1
cohen supra note 1 2
coincided with a 1 1
coined the term 1 1
cole no equal 3 1
coleman co ltd 3 1
colgan let the 1 1
collateral consequences of 16 1
collect and analyze 1 1
collect dna from 4 1
collect the appropriate 1 1
collected and sorted 1 1
collected and stored 3 1
collected and used 2 1
collected by law 2 1
collected by the 1 2
collected data on 1 1
collected in the 1 2
collecting and storing 1 1
collecting cases n 2 1
collecting dna from 4 1
collecting information on 3 3
collecting personal data 1 1
collecting personal information 1 1
collection and analysis 18 6
collection and data 1 2
collection and distribution 4 1
collection of biological 2 1
collection of crime 1 1
collection of data 4 1
collection of dna 2 5
collection of personal 2 1
collection of the 1 2
collection of vast 1 1
collection recording analysis 1 1
collective action and 1 1
collective decision making 1 1
collective efficacy and 3 2
colleen mccue predictive 3 2
college of law 11 1
color and women 1 1
colorblind equal protection 1 1
colored people naacp 1 1
colum hum rts 3 1
colum j gender 1 3
colum l rev 20 5
com about last 1 1
com apr http 1 1
com article crime 1 1
com article news 2 2
com article us 4 1
com articles minority 1 1
com articles news 3 2
com aug http 1 1
com aug pm 1 1
com big data 2 1
com business article 1 1
com business how 1 1
com business police 1 1
com crime article 1 1
com distributed by 4 10
com feb http 2 2
com government technology 1 1
com http www 1 1
com in hot 3 2
com july am 1 1
com last visited 3 1
com load date 15 2
com magazine archive 7 3
com magazine shopping 1 1
com may http 2 1
com midstate index 1 1
com new york 7 3
com news articles 5 2
com news briefing 1 1
com news crime 3 2
com news ct 2 1
com news feb 1 1
com news fl 1 1
com news index 1 3
com news jul 1 1
com news local 21 8
com news nation 1 3
com news opinion 1 1
com news santa 1 1
com node describing 1 1
com nyregion for 1 1
com politics fbi 1 1
com predictive policing 2 1
com publications cops 2 1
com sept http 1 6
com sites ciocentral 1 1
com sol papers 8 1
com tech innovation 1 1
com technology facebook 1 1
com technology ibm 1 1
com technology privacy 1 1
com twitter com 1 2
com us news 4 1
com us police 8 4
com watch v 8 1
com what the 1 1
com wp content 5 1
com wp dyn 10 3
combination of a 1 1
combination with other 1 1
combination with the 1 1
combined with programs 1 1
combined with the 6 1
combined with two 1 1
come from the 1 2
come into being 1 1
come out of 2 1
come such hypotheses 1 1
come to be 6 1
come to the 2 2
come to use 1 1
come up with 5 2
come with a 2 2
comes at a 4 1
comes down to 1 1
comes from a 4 2
comes from the 3 2
comfortable with the 3 1
coming crisis of 1 1
comm n http 2 1
comm n u 1 3
comm n v 2 1
comm on the 7 1
command staff and 3 2
commander andrew papachristos 2 1
comment face recognition 1 1
comment on the 2 1
commentary on the 3 2
commented that the 1 1
commenting on the 1 2
comments and suggestions 3 2
comments on earlier 1 1
commission of a 2 2
commission on law 1 1
commission on the 3 1
commissioner bill bratton 1 1
commissioner of new 1 1
commissioner of the 1 4
commissioner raymond kelly 2 1
commissioner raymond w 1 2
commissioner william bratton 4 1
commit a crime 16 3
commit a criminal 3 1
commit crime n 2 2
commit crimes and 3 1
commit the crime 1 1
commit the same 2 1
commitment to community 1 2
commits near repeats 2 1
committed a crime 6 3
committed by an 2 3
committed by someone 2 1
committee final report 1 1
committee to commissioner 1 1
committing a crime 3 14
committing or about 1 1
committing the crime 1 1
committing the most 2 1
common for there 1 4
common in the 1 2
commonly known as 3 1
commonwealth s e 2 1
communal consequences u 1 1
communicable disease also 1 1
communicable with the 1 1
communication and information 2 1
communications privacy act 3 1
communities and the 4 1
communities around the 1 1
communities because the 1 1
communities n currently 1 1
communities n the 5 1
communities of color 13 2
communities that have 3 1
communities that perceive 1 1
communities with high 1 1
community and problem 2 1
community and to 1 2
community engagement and 4 3
community engagement as 8 2
community increasingly is 1 1
community is no 1 1
community it is 1 2
community justice center 1 3
community meetings and 1 1
community members in 1 1
community members that 1 1
community n in 1 1
community n the 2 2
community n therefore 1 1
community oriented police 2 1
community oriented policing 17 3
community policing a 5 1
community policing and 25 8
community policing as 4 2
community policing both 1 1
community policing calif 2 2
community policing chicago 2 1
community policing has 5 2
community policing in 18 1
community policing is 5 6
community policing law 1 1
community policing literature 2 1
community policing more 1 1
community policing n 11 3
community policing programs 1 1
community policing requires 2 1
community policing the 2 3
community policing to 4 1
community policing was 2 1
community policing while 1 4
community relations in 4 1
community support n 1 1
comp stat ann 6 2
companies have been 2 3
companies in order 1 1
companies learn your 1 1
companies such as 7 1
company all rights 2 1
company and exposed 1 1
company limited all 1 1
company llc d 2 1
company of documents 3 2
company that provides 1 3
compared against official 1 1
compared to a 2 3
compared to an 1 1
compared to the 6 5
compared to what 1 1
compared with the 2 2
comparison of operationalization 1 1
comparison to a 1 1
comparison to the 1 1
compelling state interest 3 1
competition and productivity 2 2
competitive enterprise of 1 1
complaints against the 1 1
complete a uf 3 1
completion of the 4 1
complex computer algorithm 2 1
complex social problems 1 3
complex systems of 1 1
complex than the 1 1
complexes and hotels 1 2
complexity of the 6 2
compliance n this 1 1
compliance with the 14 5
comply with the 13 2
component of a 1 1
comport with the 2 1
composition of a 6 1
comprehensive analysis of 2 1
comprehensive view of 1 1
compstat a system 1 1
compstat a theory 3 2
compstat and the 1 1
compstat in practice 2 1
compstat its origins 2 1
compstat paradigm management 1 1
compstat relied heavily 1 1
compstat system n 1 1
compulsory dna collection 2 1
computer age the 1 1
computer algorithm can 2 1
computer algorithm for 1 1
computer algorithms n 1 1
computer analysis of 1 1
computer analytics to 3 1
computer assisted analysis 1 1
computer high tech 2 1
computer info l 1 2
computer internet lawcriminal 1 2
computer program could 1 1
computer program that 1 2
computers and hand 2 1
computers predict crimes 2 1
computing power and 2 3
conceive of a 2 1
concentrate at particular 1 2
concentrate on the 1 1
concentrated in a 4 2
concentration of crime 1 2
concentration of males 1 1
concept of a 1 1
concept of predictive 2 4
concept of privacy 1 1
concept of reasonable 3 2
conception of deterrence 5 1
concern is that 10 1
concern raised by 1 1
concern that the 6 1
concern with the 1 1
concerned about the 3 4
concerned with the 6 1
concerning compstat auditing 1 1
concerning j l 1 1
concerns about privacy 2 2
concerns about the 14 4
concerns could be 2 1
concerns of the 1 1
concerns on this 1 1
concerns such as 1 3
concerns that are 1 2
concerns with data 1 1
conclude in light 1 3
conclude that a 4 1
conclude that under 1 1
concluded that it 1 1
conclusion means that 1 1
conclusion we are 1 1
conclusions drawn from 1 2
conclusions of the 2 1
concurring awareness that 1 1
concurring in part 3 9
concurring in the 2 12
concurring n id 2 8
concurring n see 1 2
concurring opinion in 2 3
concurring quoting people 1 1
conditional locational interdependence 1 1
conditions associated with 1 1
conditions of the 1 1
conditions under which 5 1
conduct a brief 1 1
conduct a crime 2 1
conduct a frisk 1 1
conduct a terry 1 1
conduct and the 1 2
conduct if the 1 2
conduct in other 1 1
conduct on the 1 2
conduct r a 1 1
conduct stops based 1 1
conduct terry stops 1 1
conduct which leads 1 2
conducted a protective 1 2
conducted by the 7 3
conducted in the 2 1
conducted stop and 1 1
conducting a terry 1 2
conference of state 1 2
confessions loy u 1 1
confessions of a 1 1
confidence in police 2 2
confidence in the 6 4
conflict n see 1 1
confluence of these 1 2
confrontation with the 1 1
cong n see 1 1
cong research serv 3 1
cong statement of 8 1
congress amended the 1 1
congress and the 2 1
congress blog jan 1 1
congress in the 2 1
congress library of 1 1
congress plans to 2 2
conjunction with the 1 2
conjure trips to 1 1
connected to a 3 1
connection to the 3 1
connection with a 3 1
connection with the 1 1
consequence of the 6 2
consequences for example 2 1
consequences for the 6 2
consequences for their 1 1
consequences of legal 1 1
consequences of the 2 1
consequences of these 2 1
consequences u cin 1 1
consider again the 1 1
consider in determining 1 2
consider in the 1 1
consider the high 1 1
consider whether the 2 2
considerably less than 2 3
consideration of the 4 3
considerations in a 2 6
considerations of everyday 3 1
considered by the 5 1
considered in a 1 3
considered in the 2 3
considered relevant to 1 1
considered to be 6 1
considering the character 2 1
consistent in its 1 1
consistent with a 2 1
consistent with preservation 1 1
consistent with the 10 10
consists of a 2 1
const amend iv 7 5
const amend v 2 1
const l n 1 1
constitute a fourth 5 2
constitute a search 2 5
constitute cruel and 2 1
constitute probable cause 1 1
constitute reasonable suspicion 4 1
constitutes an unreasonable 1 1
constitution in the 1 1
constitution minn l 1 1
constitution of public 1 1
constitutional and statutory 7 1
constitutional challenges n 1 1
constitutional criminal procedure 7 1
constitutional law n 1 1
constitutional lawbill of 4 2
constitutional limits on 1 2
constitutional muster npr 2 1
constitutional myths and 2 2
constitutional nor statutory 2 1
constitutional protections n 1 1
constitutional right to 11 4
constitutional rights of 1 1
constitutional statutory and 1 1
constitutional use of 1 1
constitutionality of the 3 1
constrain abusive law 1 2
constrained by the 4 1
consultation with the 1 2
contact editor at 3 1
contact with a 1 4
contact with police 1 1
contact with the 21 8
contained in a 1 2
contained in the 4 2
contends that the 2 1
content article ar 10 4
content dam aba 2 1
content dam rand 2 1
content of a 1 2
content of information 1 2
content of the 1 1
content pub pdf 4 1
content requirement please 3 1
context and the 5 1
context in which 5 4
context it is 1 1
context of a 4 3
context of criminal 3 2
context of fourth 2 1
context of racial 5 1
context of the 10 2
context this part 1 1
context to the 1 1
contexts in the 2 1
continue in the 1 2
continue to be 5 3
continue to manage 1 1
continue to reduce 1 1
continues to play 1 1
continuous dynamic value 1 1
continuous updates on 2 1
continuum of suspicion 1 1
contra costa times 1 5
contraband i e 2 1
contraband or evidence 2 1
contraband will be 4 2
contraband would be 1 1
contract to build 1 1
contract with the 1 1
contrary n the 2 1
contrary to the 3 2
contrast the supreme 1 1
contrast to the 4 4
contribute to the 6 4
contributed to mass 1 1
contributed to the 4 2
contributed to this 2 1
contributes to the 3 1
control access to 3 1
control and law 4 1
control and prevention 1 2
control and safe 1 1
control crime and 4 1
control in the 5 2
control n if 1 1
control n see 1 1
control n the 1 1
control of police 1 2
control of the 11 9
control over the 5 2
control over their 3 1
control should one 2 1
controlling for other 1 1
controlling police corruption 1 1
controversy about whether 1 1
convenience stores and 1 1
conventional fourth amendment 1 1
conversation about the 1 1
conveyed by that 1 1
convicted of a 5 13
convicted of drug 2 2
convicted of sex 1 3
convicted of violent 1 1
convictions of the 1 1
convicts living in 2 1
cooperate with the 6 2
cooperation by microsoft 1 2
cooperation with the 5 2
cop s repertoire 1 1
cope intelligence led 2 1
cope supra note 2 1
copies of his 1 1
cops community policing 2 1
cops get smart 4 2
cops p pub 2 1
cops to use 1 1
cops usdoj gov 9 3
