of documents 1 of 1
enable police to 2 2
enabled by the 2 1
encounters with police 2 1
encounters with the 5 1
end of the 25 5
enforcement agencies the 3 1
enforcement and community 1 1
enforcement and criminal 3 1
enforcement and the 4 1
enforcement in democratic 1 1
enforcement officials the 3 1
enforcement should be 1 1
engage in community 3 3
engage in the 5 1
engaged in a 12 1
engaging the public 2 1
english acc no 4 4
english graphic photo 1 1
english publication type 41 4
enhancing police integrity 1 1
enough to have 1 1
enough to know 1 2
entities in the 1 1
environmental features are 1 1
era for policing 1 1
erosion of the 1 1
especially important to 1 1
especially in the 5 2
especially with the 1 1
essential to good 1 1
essentially the same 4 1
estimate of the 1 1
estimate the effects 1 1
et al the 25 2
et al we 1 1
evaluation of police 1 1
evaluations of the 1 1
even if the 23 1
even more important 2 1
even more than 2 1
even the most 9 1
even though there 4 1
even when an 2 1
everywhere it s 1 1
evidence based policing 2 2
evidence in court 1 1
evidence in the 4 1
evidence is mixed 2 1
evidence of any 1 1
evidence of the 5 1
evidence on the 2 2
evidence suggests that 8 2
evidence that is 1 1
evidence that officers 1 1
evidence that the 9 1
evidence to make 1 1
evidence to suggest 4 1
evolving strategy of 3 2
example of how 5 1
example researchers have 1 1
example the widespread 1 1
example whether and 1 1
except for the 1 1
excessive force and 6 1
exclusionary rule in 1 1
executive and legislative 1 1
executive director of 7 1
executive research forum 3 9
existed in the 1 1
expect that the 3 1
expected to be 3 1
experience with police 1 1
experience with the 5 1
experiences of police 2 1
experiencing a crisis 1 1
experiment with new 1 1
explained by a 1 1
explanations for the 1 1
extent of police 1 1
extent of the 10 1
extent that these 1 1
extent that they 2 2
extent to which 18 14
eye on the 13 1
f kennedy school 1 1
face of a 1 1
face to face 7 3
faced with a 1 2
facial recognition and 1 1
facilitated by the 2 1
factors associated with 5 1
factors that may 2 1
fail to report 2 1
fair share of 2 1
familiar with this 1 1
familiarity with the 1 2
far into the 3 1
father s police 2 1
fear of crime 19 4
feature of the 4 1
february language english 1 1
fed into the 3 4
federal agencies and 4 1
federal agencies have 1 1
federal and local 4 1
federal bureau of 11 1
federal funding and 1 1
federal government a 2 1
federal government s 13 1
federal government to 1 2
federal law enforcement 15 3
federal state and 24 1
feet by feet 2 2
few days or 1 1
few years of 2 1
fighting crime in 3 2
figure out what 1 1
filed a lawsuit 3 1
files e g 1 1
fill in the 2 1
find ways to 9 1
findings suggest that 2 1
first half of 3 3
first in the 5 6
first is the 2 1
first it will 1 1
first six months 3 3
first there are 1 1
first to use 2 1
florence nightingale in 1 1
focus more on 1 1
focus on crime 6 1
focus on outcomes 1 1
focus on the 17 2
focused on the 9 2
focused police crackdowns 1 1
focuses on the 15 1
following an initial 1 2
following legal topics 20 1
following the attacks 1 1
foot patrol experiment 1 1
for a given 4 2
for a more 9 2
for a variety 5 1
for a while 1 1
for a wide 2 1
for at least 7 1
for by the 1 2
for certain groups 1 1
for community policing 9 1
for continuing to 3 1
for dealing with 2 1
for decades police 1 1
for example a 20 1
for example in 35 1
for example researchers 1 2
for example said 1 1
for example the 54 7
for example whether 1 1
for facial recognition 2 1
for his work 1 2
for hits on 1 1
for incarceration and 1 1
for insights into 3 1
for instance and 1 4
for integrating compstat 3 1
for its crime 3 1
for local law 4 1
for longer periods 1 1
for many years 1 1
for more information 4 2
for most local 1 1
for now is 1 2
for one purpose 1 1
for other purposes 1 1
for patrol officers 3 1
for people in 1 1
for percent of 1 1
for police agencies 1 1
for police chiefs 1 1
for police to 11 2
for police use 3 1
for predictive policing 15 1
for property crimes 1 2
for related research 20 1
for restrictions on 2 1
for service and 1 1
for service n 2 1
for service or 1 1
for strategic and 1 1
for street level 1 2
for such a 6 1
for that reason 2 1
for the american 3 1
for the department 3 2
for the first 8 1
for the most 6 2
for the next 4 1
for the police 13 2
for the practice 2 2
for the purposes 8 1
for the work 1 1
for them to 6 1
for those who 15 1
for use by 4 1
for use in 6 1
for ways to 3 2
for years to 1 1
force in police 2 1
force in the 6 1
force such as 1 1
forces have been 1 1
form of bad 1 1
form of the 3 1
forms of surveillance 3 1
found that in 3 1
found that percent 1 2
found that the 13 4
found that there 1 1
found that when 1 1
found the amount 2 1
found to have 6 2
fourth amendment in 6 1
fourth amendment protections 20 1
friend who was 1 2
from a more 1 1
from a single 1 2
from a system 3 1
from a variety 3 1
from each other 1 1
from july to 1 1
from law enforcement 7 2
from such a 1 1
from that of 1 1
from the american 2 2
from the bottom 5 1
from the communities 2 3
from the community 8 2
from the federal 2 2
from the general 4 1
from the late 2 2
from the los 2 6
from the mid 2 1
from the military 2 1
from the police 13 1
from the public 7 2
from the rest 3 1
from the s 5 1
from the top 1 1
from the traditional 1 2
from those of 1 1
from those who 1 1
from which to 3 1
from within the 1 1
full time sworn 2 2
functions of the 2 2
further concluded that 1 1
fusion center guidelines 2 2
future crimes will 3 4
future of crime 2 2
future of policing 9 1
g wanted lists 1 1
gained from these 1 1
gap between the 2 1
garner decision on 2 1
gathering and processing 1 1
gathering processing and 1 1
generation or two 1 1
george mason university 1 2
get around the 1 1
given by the 2 1
goals for the 2 1
going on in 1 2
going to happen 1 1
going to occur 2 1
gov pdffiles nij 9 1
governance of police 1 2
governance of the 1 2
government and private 1 1
government and the 6 1
government at the 1 1
government police management 1 1
governmentspolice power footnotes 5 1
great deal of 12 2
greater than the 2 1
grew up in 5 1
group inc all 9 1
groups of people 4 1
groups such as 3 1
growing body of 2 3
growing presence in 1 1
growth in the 3 2
growth of information 2 1
guidelines developing and 1 1
h bayley the 1 1
had become a 3 1
had been made 1 1
had been quite 1 2
had begun to 1 1
had not been 3 1
had the greatest 1 1
haggerty policing the 1 1
half of the 7 5
handful of police 1 1
happen in the 1 4
happens when a 1 2
hardly unique in 1 1
harm in the 1 1
harvard university press 1 2
has a strong 2 1
has argued that 7 2
has become increasingly 2 1
has been a 25 2
has been done 5 2
has been given 3 1
has been growing 1 1
has been on 1 1
has been the 8 3
has been to 4 1
has been used 10 2
has been using 1 2
has continued to 3 1
has had a 4 1
has implications for 1 1
has led the 2 1
has led to 15 2
has long been 11 1
has not been 12 7
has prompted some 1 1
has resulted in 5 1
has since been 2 1
has worked with 4 1
has yet to 8 2
have a better 1 1
have a number 1 1
have already been 2 2
have argued that 11 5
have attempted to 2 3
have been a 5 1
have been designed 4 1
have been developed 2 1
have been forced 2 1
have been fueled 1 1
have been in 4 1
have been subject 1 1
have been the 4 1
have been to 1 1
have been used 5 1
have been widely 2 2
have embraced the 5 1
have engaged in 5 1
have explored the 1 1
have found that 12 2
have led to 7 1
have little direct 1 1
have long been 14 1
have made it 4 2
have not been 11 2
have not yet 6 2
have outstanding warrants 1 2
have reduced the 1 1
have shown a 3 2
have shown that 10 1
have suggested that 4 1
have taken place 2 1
have tended to 1 1
have the most 2 1
have the potential 13 1
have to know 1 1
have to say 2 1
have transformed the 1 1
have yet to 10 1
he added that 2 1
he is doing 1 4
he isn t 1 2
he noted the 1 1
he or she 8 1
he said adding 3 1
he said but 5 2
he said he 2 4
he said i 5 1
he said in 1 2
he said it 5 3
he said load 1 2
he said that 1 1
he said the 6 4
he wants to 1 4
head of the 11 3
health and education 1 1
heavily on certain 1 2
heavily on the 1 1
heavily on training 1 1
hence the nature 1 1
high correlation between 1 2
high crime areas 43 2
high degree of 7 4
high level of 11 1
high levels of 6 2
high school diploma 1 1
higher degree of 1 1
higher levels of 3 1
highest risk for 1 2
highly discretionary decisions 4 1
his hand into 1 1
his or her 11 2
history of community 3 1
history of police 5 2
hits on information 1 1
hold in the 1 1
homeland security law 1 1
homes business and 1 1
hope is that 2 1
host of other 3 1
hot spots and 6 2
hot spots policing 11 8
hot spots when 1 1
how america s 1 1
how an officer 1 1
how and where 1 1
how courts and 1 1
how much and 1 1
how much it 1 2
how much the 2 2
how much they 1 1
how police use 1 1
how police work 1 1
how such a 2 2
how the police 5 1
how these reform 1 1
how they are 2 2
how they should 1 1
how to implement 2 1
however it does 2 1
however some research 1 1
http www manhattan 1 1
http www ncjrs 8 3
http www nytimes 89 1
http www santacruzsentinel 1 2
human rights violations 2 1
huo trust in 1 1
i don t 10 2
i have a 2 1
i m going 9 1
i m not 5 1
i never really 3 2
i think it 8 2
i think the 1 6
idea is that 2 1
idea that they 2 1
identify hot spots 1 1
if a pattern 1 1
if a person 4 4
if anything the 1 1
if at all 2 1
if the criminal 1 1
if the officer 13 1
if there are 4 1
if there were 2 1
if they are 5 1
if they were 6 1
if this were 3 1
if we have 2 2
impact of new 4 1
impact of these 1 1
impact on crime 1 1
impact on police 1 1
implement community policing 1 1
implementation of new 1 1
implementation of the 6 1
implementing community policing 1 1
implications for how 1 1
implications for the 5 1
implications of a 3 1
implications of the 3 1
importance of police 1 1
importance of the 4 1
important areas of 2 1
important question is 2 1
important role in 8 1
important to avoid 1 1
improving the quality 1 1
in a community 14 2
in a department 2 1
in a few 2 1
in a five 1 1
in a free 1 1
in a given 10 2
in a haphazard 1 1
in a larger 1 1
in a more 8 3
in a new 6 1
in a police 6 1
in a post 5 1
in a recession 3 1
in a series 4 1
in a system 4 2
in a technical 1 1
in a time 4 1
in a variety 9 1
in a way 20 5
in accordance with 4 1
in addition there 3 1
in addition to 46 3
in all instances 1 1
in america is 1 1
in america s 4 1
in american police 4 3
in american policing 8 6
in an actuarial 5 1
in an age 3 6
in an american 2 1
in areas where 5 4
in arrest rates 1 1
in assessing the 1 1
in attempting to 2 1
in both cases 6 2
in cars or 1 1
in charge of 3 1
in chicago a 5 1
in chicago and 3 1
in community policing 18 11
in comparison to 9 1
in contrast to 8 1
in countering terrorism 1 1
in counterterrorism efforts 1 1
in court and 2 1
in crime and 4 2
in crime especially 1 1
in crime the 2 1
in criminal investigations 5 1
in criminal justice 13 2
in deciding to 1 1
in democratic society 1 1
in departments for 1 1
in departments that 1 1
in depth studies 1 1
in depth study 1 1
in determining who 1 1
in different parts 2 2
in economic and 1 1
in eight communities 1 1
in either a 1 1
in encyclopedia of 1 5
in estimating the 1 1
in fact be 1 1
in federal funding 2 1
in fighting crime 2 1
in handbook of 4 2
in health care 1 1
in homeland security 1 2
in how the 2 1
in how their 1 1
in january the 2 2
in july to 1 1
in large cities 4 1
in large departments 1 1
in large part 10 3
in law and 4 1
in law enforcement 30 1
in levels of 1 1
in light of 18 1
in local government 3 1
in local police 1 3
in local policing 4 1
in los angeles 55 9
in many cases 13 1
in many cities 9 3
in many post 1 1
in metropolitan america 2 2
in mind it 1 1
in modern society 1 1
in most jurisdictions 1 1
in most police 2 1
in motion a 1 1
in new york 144 2
in no way 2 1
in north and 1 1
in one of 5 2
in one or 1 1
in one study 2 1
in other cities 6 1
in other industries 1 1
in our efforts 1 1
in part from 5 1
in part on 16 1
in part to 6 2
in partnership with 5 1
in patrol cars 1 1
in place for 4 1
in police but 2 1
in police departments 10 2
in police governance 2 1
in police innovation 2 5
in police management 1 1
in police organizations 1 4
in police stations 1 1
in policing law 1 1
in policing the 4 1
in practice taking 1 1
in predicting criminal 1 1
in predictive policing 9 2
in preventing future 1 1
in pursuit of 1 1
in real time 20 3
in recent decades 4 1
in recent years 32 3
in reducing crime 4 1
in response to 35 1
in rural areas 1 1
in san bernardino 4 1
in santa cruz 5 17
in several cities 5 2
in size and 1 1
in some cases 18 2
in some cities 2 1
in some of 8 1
in some ways 6 5
in support of 9 1
in terms of 67 6
in that area 2 1
in that respect 1 1
in that the 3 2
in that way 2 1
in the absence 30 1
in the actual 3 1
in the american 10 1
in the case 37 2
in the city 36 2
in the coming 8 4
in the community 33 3
in the context 56 1
in the country 15 4
in the crime 3 1
in the cultural 2 1
in the current 6 1
in the decade 1 2
in the decision 2 1
in the degree 2 1
in the department 7 1
in the development 4 1
in the early 24 3
in the emerging 4 2
in the end 2 3
in the environment 1 1
in the evaluation 1 1
in the execution 1 1
in the face 20 4
in the fall 1 4
in the field 21 6
in the first 34 10
in the following 8 1
in the form 37 2
in the formal 1 1
in the future 38 4
in the growing 1 2
in the industrialized 1 1
in the information 14 2
in the interest 3 1
in the interrogation 1 1
in the knowledge 1 1
in the last 18 5
in the late 25 3
in the latter 1 3
in the law 16 1
in the legal 8 1
in the los 5 5
in the marketplace 2 3
in the midst 5 1
in the military 8 1
in the most 6 1
in the nation 7 6
in the neighborhood 9 4
in the new 12 8
in the next 11 1
in the nineteenth 3 2
in the number 7 3
in the organization 1 1
in the past 41 1
in the police 15 6
in the policing 8 1
in the policy 2 1
in the presence 2 1
in the private 10 1
in the public 12 1
in the recent 4 1
in the reform 1 1
in the s 61 19
in the same 40 3
in the second 4 1
in the selection 2 2
in the short 3 1
in the st 6 1
in the standard 1 1
in the targeted 2 2
in the traditional 6 1
in the twentieth 5 3
in the twenty 5 1
in the u 36 2
in the uk 8 1
in the united 91 17
in the us 8 1
in the usa 5 1
in the use 13 1
in the very 3 1
in the wake 27 3
in the way 11 1
in the ways 1 2
in the world 13 1
in the year 5 2
in their data 2 1
in theory the 4 1
in these agencies 2 1
in these places 1 2
in this case 19 1
in this regard 10 1
in this section 7 1
in this way 11 1
in those areas 3 1
in three police 3 1
in time to 3 1
in turn are 1 1
in urban america 1 1
in use in 6 2
in violent crime 11 1
in ways that 42 1
in what they 5 1
in which police 9 2
in which the 42 9
inc all rights 10 2
include for example 2 1
includes not only 1 1
including the time 3 4
including those with 1 1
incompatible with the 1 1
increase in the 12 2
increases in violent 1 1
increases the risk 1 1
indeed it is 6 1
independent from the 1 1
independent of the 4 2
individual police officers 2 3
inequality in the 6 1
influence in the 1 1
influence of police 1 1
influence of the 2 1
influence on police 1 3
influence over the 2 1
influenced by their 1 2
information about past 2 1
information about people 1 1
information about the 22 4
information about what 1 1
information and intelligence 1 1
information as well 1 1
information on a 8 1
information provided by 2 1
information sharing it 1 1
information technologies and 1 1
information technologies in 1 2
information that could 3 1
information they possess 1 1
information to a 4 1
information to law 4 1
innovation contrasting perspectives 1 5
inside and outside 3 2
insight into the 2 1
insofar as it 4 1
instances in which 14 1
instead to work 1 1
institute of justice 8 16
institutionalization in policing 1 1
integrating compstat and 3 1
intelligence gathering and 3 4
intelligence in a 1 1
interaction effects between 1 1
interactions with citizens 3 1
interests of the 4 1
international association of 4 4
internet lawcopyright protectioncivil 1 1
into a larger 1 1
into account the 5 1
into many of 1 1
into police culture 1 1
into the future 7 2
into the program 2 2
into the twenty 4 4
invasion of privacy 2 1
involved in a 14 1
involved in crime 8 2
irony of broken 2 1
is a big 3 2
is a bit 2 1
is a crime 2 2
is a form 1 1
is a great 4 1
is a growing 1 2
is a major 2 2
is a primary 1 1
is a small 1 1
is a strong 5 1
is a term 1 1
is able to 9 1
is about to 14 1
is analyzed by 1 1
is as much 1 1
is associated with 4 2
is based on 13 5
is becoming increasingly 2 1
is becoming more 1 1
is carried out 1 1
is changing the 1 2
is concentrated in 2 1
is consistent with 10 1
is counter to 1 1
is difficult to 11 5
is enough to 7 1
is essential for 1 1
is expected to 4 1
is familiar with 1 1
is far from 3 1
is far more 1 1
is fed into 1 2
is for the 2 2
is going to 15 3
is in fact 9 1
is in large 2 1
is in some 1 2
is likely that 9 1
is little evidence 2 1
is mapping the 1 4
is more or 1 1
is much less 1 1
is no evidence 4 1
is not an 3 1
is not available 4 1
is not clear 9 1
is not exactly 1 2
is not getting 1 1
is not necessarily 1 3
is not so 7 1
is not sufficient 4 1
is not surprising 6 1
is not to 26 9
is not unique 1 1
is not well 7 2
is not yet 1 3
is now standard 1 1
is offered by 1 1
is often the 3 1
is one of 16 1
is one reason 1 2
is organized as 1 1
is part of 7 3
is planning to 1 2
is possible to 5 1
is primarily one 1 1
is reason to 1 1
is seeing and 1 1
is some evidence 1 1
is successful in 2 1
is sufficient to 6 1
is that a 3 1
is that for 1 1
is that it 11 3
is that police 7 2
is that predictive 2 1
is that the 22 1
is that there 7 3
is the extent 1 2
is the first 6 2
is the key 1 4
is the nature 2 3
is the police 1 1
is the term 1 1
is the way 2 1
is there a 6 1
is thought to 5 1
is to focus 1 1
is to have 1 1
is to say 2 1
is unclear whether 2 1
is unsurprising that 2 1
is useful to 1 1
is value in 1 1
is very difficult 5 1
is very little 1 1
is viewed as 1 1
is why the 1 1
it and the 6 1
it appears that 3 1
it appears to 4 1
it as a 8 1
it as more 1 1
it based forms 1 1
it can be 9 1
it could be 5 1
it difficult to 13 1
it does not 32 2
it doesn t 12 3
it for example 1 1
it from other 1 1
it has already 2 1
it has been 17 3
it has not 3 3
it has now 1 1
it in the 3 2
it is a 44 1
it is all 3 1
it is difficult 15 4
it is especially 1 1
it is for 2 1
it is hardly 3 1
it is largely 1 1
it is likely 10 1
it is much 1 1
it is not 69 9
it is now 4 1
it is possible 12 3
it is successful 2 1
it is the 29 3
it is to 8 1
it is unclear 4 1
it is unsurprising 2 1
it is useful 1 1
it is very 2 1
it is widely 1 1
it is worth 8 1
it it is 2 1
it makes it 2 1
it may be 18 11
it may increase 2 1
it may well 2 1
it might be 30 1
it more likely 1 1
it not only 3 1
it possible to 5 2
it s a 18 1
it s already 1 1
it s an 2 4
it s going 8 3
it s just 4 2
it s not 20 3
it s really 1 1
it s the 7 1
it s unclear 3 4
it s very 2 2
it seems plausible 1 1
it shows how 2 1
it shows that 2 1
it suggests that 1 1
it tends to 1 1
it turns out 7 2
it was a 8 2
it was to 3 1
it will also 3 1
it will be 10 8
it will make 1 1
it will not 6 1
it would be 32 3
it would certainly 1 2
it would enable 1 1
it would require 2 1
its capacity to 2 1
its commitment to 5 1
its crime control 3 1
its degree of 1 1
its impact on 2 1
its share of 1 1
its use of 6 1
itself in the 5 2
itself with the 1 1
j huo trust 1 1
james j fyfe 3 1
james j willis 12 5
jean paul brodeur 1 1
jeff brantingham and 2 1
jihong solomon zhao 2 2
joel wallman eds 1 1
john e eck 2 1
john f kennedy 1 1
joint terrorism task 1 2
jose mercury news 1 6
journal of criminal 8 10
jr the police 1 1
judgments of the 2 1
july language english 5 1
just a few 5 1
just as the 3 1
just have to 1 1
justice http www 3 4
justice the challenge 1 1
justice u s 2 2
justice university of 1 1
justice without trial 2 1
keep pace with 2 1
kelling and moore 2 5
kelling et al 4 2
kennedy school of 1 1
kevin d haggerty 1 1
key element in 1 1
kind of data 4 4
kind of information 5 1
klockars et al 1 1
know about the 2 1
know it s 2 2
know little about 2 1
know to what 1 1
know where to 1 1
knowledge and the 1 1
knowledge might be 1 1
knowledge of and 1 1
known as predictive 1 2
known to the 2 2
kochel recommendations for 1 1
l length words 5 1
language english acc 4 4
language english graphic 7 7
language english publication 41 4
large amounts of 10 1
large and medium 1 1
large number of 3 3
large numbers of 3 4
large part because 1 1
large part by 3 2
large police departments 2 1
last few decades 2 2
last several decades 2 1
last two decades 8 1
last week and 2 3
last week the 6 2
last year and 1 2
last year in 1 1
late edition final 3 1
late s and 7 2
late twentieth century 9 4
later this year 1 2
law and criminology 1 3
law and order 18 1
law and society 1 6
law and the 16 1
law custom and 1 1
law enforcement activities 2 1
law enforcement agencies 109 12
law enforcement agency 6 2
law enforcement agents 2 1
law enforcement and 42 6
law enforcement as 10 1
law enforcement but 1 1
law enforcement in 16 1
law enforcement into 3 1
law enforcement officials 26 1
law enforcement should 4 1
law enforcement that 1 1
law in such 1 1
lawcopyright protectioncivil infringement 1 1
lawrence w sherman 3 1
leadership at the 2 1
learn from the 3 1
learn how to 1 1
least at the 2 1
least for the 1 1
least in the 5 1
least likely to 1 1
least to some 1 1
led the city 1 1
led to a 13 1
legal topics computer 3 1
legal topics for 20 1
legitimacy of the 9 1
legitimacy to the 1 1
length words abstract 1 1
length words article 18 1
length words the 2 1
less likely to 37 1
less than a 6 1
less than lethal 2 1
less than percent 7 1
less than when 1 1
lessons from a 2 1
level of police 1 1
level of service 3 2
level of transparency 2 1
levels of crime 2 1
levels of government 5 2
levels of police 2 2
levels of the 2 1
lieutenant in the 1 1
like many other 2 1
likelihood that police 1 1
likely to be 109 1
likely to commit 15 1
likely to occur 30 5
limitations in the 1 1
limitations on the 2 1
limited in the 1 1
limited to a 2 1
link between the 4 1
list of the 2 2
lists looking for 1 1
little about how 2 1
little or no 4 3
little reason to 5 1
live in a 5 1
lived in the 1 1
load date august 5 4
load date december 4 1
load date february 1 1
load date july 5 1
load date november 1 2
load date september 6 1
local and federal 3 2
local communities and 1 1
local control of 1 1
local elected officials 1 1
local government police 1 1
local government to 1 1
local involvement in 1 1
local law enforcement 49 10
local police agencies 1 7
local police and 1 2
local police departments 27 1
local police in 1 5
local police officers 1 1
local police to 2 1
local political machines 1 1
local role in 1 1
local state and 6 1
london metropolitan police 2 1
long beach police 2 4
long history of 7 1
long list of 1 1
long term effects 1 1
long term success 5 1
long time to 1 1
longer periods of 1 1
longitudinal analysis of 1 1
look at the 16 1
look at these 4 2
look for and 1 2
looking at a 1 2
looking for hits 1 1
looking for ways 2 2
looks a lot 2 1
los angeles and 17 9
los angeles are 2 1
los angeles is 3 2
los angeles police 58 5
los angeles times 5 5
los angeles to 4 1
lot more like 1 1
lot of crime 2 1
lot of things 3 1
lower levels of 3 1
loyalty to the 3 1
m going to 9 1
made it difficult 1 1
made possible the 1 1
made under the 2 1
make it so 1 1
make possible the 1 1
makes it possible 3 2
making it a 1 1
making sense of 7 3
malinowski police performance 1 1
management in practice 1 1
management of law 1 1
manhattan institute org 1 1
manifests itself in 1 2
many agencies are 1 1
many as highly 1 1
many of the 43 6
many of these 20 1
many of which 6 2
many police departments 6 2
many police forces 1 1
many thousands of 2 1
many types of 1 1
map of the 4 1
maps of the 2 1
mark h moore 2 2
market conditions and 2 1
massive data files 1 1
materials see the 20 1
matthew j hickman 3 1
may affect the 1 1
may be a 5 1
may be changing 1 1
may be especially 1 1
may be less 3 1
may be more 11 2
may be on 2 1
may be perceived 2 1
may be required 1 1
may be some 1 1
may be that 3 3
may be the 11 1
may have a 5 2
may have been 15 2
may in fact 4 1
may no longer 1 1
may not be 43 2
may serve as 2 1
may simply not 2 1
may vary from 1 1
may well be 7 1
may well have 1 2
mccue predictive policing 3 2
mean that new 1 1
mean that police 1 1
meaning of community 1 1
means that the 8 1
measures of police 1 1
mechanism by which 3 1
mechanism for determining 1 1
mechanisms such as 1 1
medianews group inc 4 1
meeting of the 3 2
meeting the demands 1 1
members are often 1 1
members of the 32 6
mercury news california 1 3
meta analysis of 2 1
methods of analysis 2 1
methods such as 1 1
metropolitan police in 1 1
micro place study 1 1
midst of a 2 1
might argue that 4 2
might be a 7 1
might be expected 1 1
might be held 1 1
might be the 8 2
might include for 1 1
might not be 19 4
minorities and the 1 1
minority and low 1 1
model for this 1 1
model of police 3 1
months after the 2 1
months of santa 1 1
moral character and 1 1
more about the 2 1
more accountable for 1 1
more accustomed to 4 1
more advanced software 1 1
more and better 1 1
more and more 10 1
more clearly the 1 1
more closely at 1 1
more community oriented 3 1
more effective in 2 1
more efficient to 1 1
more engaged in 1 1
more heavily on 1 2
more information about 9 2
more information on 1 1
more likely to 125 1
more of the 5 3
more on the 2 1
more open to 2 1
more optimistic about 1 1
more or less 13 6
more police agencies 1 1
more recent work 1 1
more susceptible to 7 1
more than a 36 1
more than million 14 1
more than their 2 1
more than with 1 1
more time and 1 1
more willing to 2 1
more with a 1 1
most at risk 9 1
most frequently used 1 1
most local police 1 1
most of the 29 3
most of them 7 1
most of these 1 3
most of this 2 1
most of us 2 2
most police organizations 1 1
most studies of 1 1
motor vehicle thefts 1 2
move into the 1 1
movement in the 1 2
movement that is 1 1
much about the 1 1
much more efficient 1 1
much of a 1 2
much of the 32 5
much of what 3 2
must be careful 1 1
must be made 4 1
must be sufficiently 1 1
myth and institutionalization 1 1
n a recent 6 1
n and sometimes 1 1
n and the 29 1
n but it 7 1
n but they 1 1
n despite the 5 1
n if the 13 1
n second the 7 1
n there are 18 1
n there is 18 1
n they typically 1 1
national academy of 2 2
national desk pg 1 1
national institute of 5 18
national study of 1 1
nationally representative sample 2 1
nature and extent 3 5
nature of police 1 1
nature of the 31 8
nature of their 1 1
ncjrs gov pdffiles 14 1
nearly two decades 1 1
need for limiting 2 1
need for police 2 1
need to know 13 2
needed to be 3 1
needs of the 1 2
needs of their 2 1
neighborhood but that 1 1
networking sites and 1 1
new approaches to 3 1
new blue line 1 1
new computer program 2 1
new demographics of 2 1
new era for 1 1
new police technologies 1 1
new south wales 1 1
new technologies have 1 1
new technologies in 1 1
new york and 16 1
new york city 171 6
new york police 39 1
new york times 22 5
new zealand and 1 1
newark foot patrol 1 1
news all rights 1 3
news california july 1 1
news length words 11 5
news pg length 1 1
newspaper copyright medianews 4 1
newspaper copyright star 1 1
newspaper copyright the 5 2
newspaper journal code 13 4
newspapers all rights 1 2
next level policing 1 1
next step in 1 1
nightingale in pursuit 1 1
nij grants pdf 4 1
no coincidence that 2 1
no effect on 1 1
no evidence of 4 1
no longer be 4 1
no place to 3 1
noncompliance with the 1 1
nonlethal force in 1 1
nor is it 2 1
nor is there 2 1
not a reality 1 2
not appear to 7 3
not as a 6 1
not at all 4 2
not be obvious 3 1
not be the 12 1
not be willing 1 1
not been made 1 1
not been the 1 1
not clear on 1 1
not clear that 5 1
not conduct a 1 1
not convinced that 2 1
not enough to 3 1
not just by 2 1
not mean that 8 2
not necessarily a 1 2
not need to 5 1
not only do 3 1
not only on 4 1
not only that 1 1
not only when 1 1
not readily available 1 1
not so clear 1 1
not surprising that 3 1
not to arrest 1 4
not to be 8 1
not to have 2 2
not to say 11 4
not to the 1 1
not unique to 2 1
not yet a 1 1
not your father 2 1
note that the 7 1
noted in the 1 1
noted that the 5 1
november language english 1 2
now appear to 1 1
now face federal 1 1
now standard in 1 1
now works as 1 1
number of departments 1 2
number of full 1 1
number of important 2 1
number of issues 1 1
number of officers 10 2
number of personnel 1 1
number of police 7 2
number of studies 2 3
o w wilson 1 1
objectives such as 1 1
observations of individual 1 1
occupational and professional 1 1
occupational culture in 1 1
occur in the 4 3
occurred in the 6 1
occurring in the 2 1
of a city 2 1
of a deeply 1 1
of a different 2 1
of a few 2 1
of a generation 1 1
of a given 9 2
of a large 5 1
of a largely 1 1
of a larger 11 1
of a law 1 1
of a national 2 2
of a number 2 1
of a persistent 1 1
of a police 8 2
of a second 2 1
of a wide 1 1
of administrative actions 1 1
of america and 1 1
of america s 6 6
of american policing 4 1
of an entire 2 1
of an industry 1 1
of an organization 2 1
of any sort 1 1
of authoritarian governments 1 1
of bad publicity 1 1
of behavior that 5 1
of broken windows 33 1
of california press 1 2
of calls for 1 1
of chiefs of 7 4
of command and 1 1
of community and 1 1
of community oriented 8 2
of community partnership 1 1
of community partnerships 2 1
of community policing 39 23
of compstat a 3 1
of corruption and 1 2
of course the 15 1
of course this 5 1
of crime a 3 1
of crime and 15 8
of crime but 2 1
of crime control 14 1
of crime data 8 5
of crime fighting 1 3
of crime in 5 2
of crime prediction 2 1
of crime reports 2 4
of criminal courts 1 1
of criminal justice 27 7
of criminal law 12 3
of cultural change 2 2
of data about 8 1
of data it 2 1
of data that 12 2
of deadly force 10 2
of decades of 1 1
of democratic accountability 2 1
of democratic policing 1 2
of departments that 1 1
of developing a 1 1
of different racial 4 1
of documents copyright 22 1
of documents san 1 3
of documents star 1 1
of documents the 24 3
of each shift 2 1
of efforts to 1 1
of empirical research 1 1
of events that 1 1
of evidence of 2 1
of excessive force 17 1
of full time 1 1
of getting caught 2 1
of good government 3 1
of government and 2 1
of government to 1 1
of his own 3 1
of hot spots 4 2
of how police 1 1
of how to 3 3
of human rights 2 2
of identifying and 1 1
of individual officers 6 1
of information about 17 3
of information is 1 1
of information technology 1 5
of information that 12 1
of information to 5 1
of involvement in 4 1
of it by 1 1
of it has 1 1
of its divisions 1 2
of its use 1 1
of joint task 1 1
of just punishment 1 1
of justice are 1 1
of justice assistance 6 2
of justice http 2 4
of justice police 1 1
of justice statistics 8 7
of justice the 2 2
of justice u 2 2
of large numbers 1 2
of law and 18 1
