of documents 1 of 1
idea is that 1 1
ideas in american 1 3
identify hot spots 2 1
if at all 1 1
if the officer 6 1
if there are 2 1
if there were 1 1
if they are 6 1
if they were 1 1
if we think 2 1
image of the 3 1
impact of these 1 1
implement predictive policing 1 2
implementation of the 3 1
implications for how 1 1
implications for the 3 1
implications of the 3 1
important role in 3 1
in a community 4 2
in a downtown 1 2
in a few 3 1
in a free 1 1
in a given 5 2
in a more 5 3
in a new 2 1
in a parked 1 4
in a post 2 1
in a recession 2 1
in a time 3 1
in a variety 5 1
in a way 8 5
in accordance with 2 1
in addition there 1 1
in addition to 19 3
in america had 1 1
in america s 1 1
in american police 1 3
in american policing 5 6
in an age 3 6
in an american 1 1
in assessing the 2 1
in both cases 2 2
in brief washington 1 1
in certain areas 9 1
in charge of 11 1
in community policing 2 11
in comparison to 1 1
in contrast to 6 1
in control in 1 4
in crime and 7 2
in criminal investigations 2 1
in criminal justice 9 2
in encyclopedia of 1 5
in fact be 1 1
in handbook of 1 2
in health care 1 1
in how courts 1 1
in information gathering 1 1
in january the 2 2
in july to 1 1
in large cities 1 1
in large part 4 3
in large police 1 1
in law enforcement 25 1
in light of 8 1
in local policing 3 1
in los angeles 16 9
in many cases 8 1
in many cities 2 3
in modern policing 4 5
in modern society 2 1
in motion a 1 1
in much of 1 1
in nation to 2 4
in new york 19 2
in no way 1 1
in one of 2 2
in one or 1 1
in one study 2 1
in other cities 2 1
in other countries 4 1
in other nations 1 2
in part from 4 1
in part on 5 1
in part to 3 2
in partnership with 1 1
in patrol cars 11 1
in place for 2 1
in police agencies 1 1
in police departments 1 2
in police discretion 1 1
in police practice 2 2
in policing a 2 1
in policing across 1 1
in policing linking 1 1
in policing the 5 1
in predictive policing 3 2
in previous years 1 2
in problem oriented 1 1
in real time 8 3
in recent decades 1 1
in recent years 5 3
in reducing crime 3 1
in response to 20 1
in santa cruz 17 17
in some cases 3 2
in some cities 1 1
in squad cars 1 1
in such areas 1 1
in support of 2 1
in terms of 19 6
in that area 2 1
in that respect 1 1
in the absence 6 1
in the american 1 1
in the case 11 2
in the changing 1 1
in the city 19 2
in the coming 1 4
in the community 20 3
in the context 11 1
in the country 6 4
in the crime 4 1
in the current 1 1
in the department 4 1
in the development 2 1
in the early 10 3
in the emerging 1 2
in the end 3 3
in the environment 2 1
in the execution 1 1
in the extent 1 1
in the face 6 4
in the field 8 6
in the first 23 10
in the following 2 1
in the form 9 2
in the future 22 4
in the growing 3 2
in the impact 1 1
in the information 2 2
in the last 8 5
in the late 7 3
in the latter 1 3
in the law 3 1
in the legal 4 1
in the los 1 5
in the midst 1 1
in the military 1 1
in the most 3 1
in the nation 13 6
in the neighborhood 6 4
in the neighborhoods 1 1
in the new 7 8
in the next 10 1
in the nineteenth 1 2
in the number 2 3
in the often 1 1
in the past 20 1
in the police 5 6
in the policing 1 1
in the precinct 4 1
in the presence 1 1
in the private 3 1
in the public 7 1
in the recent 2 1
in the s 25 19
in the same 7 3
in the second 2 1
in the short 1 1
in the st 1 1
in the standard 2 1
in the targeted 1 2
in the traditional 3 1
in the twentieth 3 3
in the twenty 1 1
in the u 5 2
in the united 62 17
in the us 10 1
in the usa 3 1
in the use 3 1
in the very 2 1
in the wake 6 3
in the way 5 1
in the world 40 1
in the year 2 2
in this case 9 1
in this regard 13 1
in this section 2 1
in this volume 1 3
in this way 3 1
in those areas 5 1
in three police 2 1
in time to 3 1
in use in 2 2
in violent crime 3 1
in ways that 11 1
in what they 1 1
in which no 1 1
in which police 7 2
in which the 25 9
in years of 1 2
inc all rights 16 2
increase in the 7 2
increases the risk 1 1
increasing the number 4 1
indeed it is 1 1
independent of the 3 2
influence of the 2 1
influence on police 1 3
information about the 8 4
information provided by 1 1
information services load 10 2
information technologies and 1 1
information that could 1 1
inland valley daily 2 1
innovation and success 1 1
innovations in the 1 1
instances in which 2 1
institute of justice 27 16
institute of law 1 1
integration of a 1 1
intensive monitoring of 1 1
interests of the 7 1
international association of 1 4
interventions on police 1 1
into account the 1 1
into the computer 1 2
into the future 17 2
into the program 3 2
invasion of privacy 4 1
is a crime 1 2
is a great 3 1
is a growing 2 2
is a major 1 2
is a primary 1 1
is a strong 1 1
is able to 1 1
is about to 2 1
is arguably the 11 1
is based on 13 5
is carried out 2 1
is concentrated in 1 1
is consistent with 2 1
is difficult to 3 5
is essential for 1 1
is far from 1 1
is far more 3 1
is fed into 3 2
is for the 2 2
is going on 2 2
is going to 8 3
is how police 1 1
is in fact 3 1
is intolerant of 1 1
is more crime 1 4
is more sophisticated 2 2
is much less 1 1
is much more 1 1
is new and 1 1
is no evidence 5 1
is not an 6 1
is not clear 2 1
is not exactly 1 2
is not much 1 1
is not necessarily 3 3
is not now 1 1
is not so 4 1
is not sufficient 1 1
is not surprising 2 1
is not to 7 9
is not unique 2 1
is one of 12 1
is part of 6 3
is possible to 3 1
is represented by 1 1
is seen by 1 1
is some evidence 1 1
is sufficient to 3 1
is that a 4 1
is that it 12 3
is that the 22 1
is that there 4 3
is the extent 1 2
is the first 2 2
is the police 1 1
is the way 1 1
is there a 5 1
is thought to 3 1
is to have 4 1
is to say 2 1
is unable to 2 1
is unsurprising that 1 1
is useful to 2 1
is vast and 1 1
is very difficult 1 1
is very little 2 1
is viewed as 1 1
is what we 1 1
is why the 3 1
issued by the 1 1
it appears that 1 1
it as a 2 1
it can be 6 1
it could be 8 1
it difficult to 3 1
it does not 13 2
it doesn t 7 3
it for example 1 1
it has already 1 1
it has been 12 3
it has not 2 3
it has now 1 1
it is a 21 1
it is all 1 1
it is difficult 2 4
it is especially 2 1
it is expected 1 1
it is for 2 1
it is likely 3 1
it is not 27 9
it is now 2 1
it is possible 4 3
it is the 6 3
it is to 6 1
it is unsurprising 1 1
it is useful 2 1
it is very 2 1
it is widely 1 1
it is worth 3 1
it isn t 4 2
it it is 3 1
it may be 12 11
it might be 5 1
it more likely 1 1
it possible to 2 2
it remains unclear 2 1
it s a 2 1
it s an 1 4
it s going 5 3
it s just 2 2
it s not 16 3
it s the 4 1
it s to 2 1
it suggests that 3 1
it tends to 1 1
it was a 6 2
it was no 2 1
it will also 2 1
it will be 12 8
it will work 1 1
it would be 5 3
its degree of 2 1
its impact on 1 1
its implications for 3 1
its use of 3 1
itself in the 1 2
j administrative interventions 1 1
j jr and 1 1
j jr the 1 1
j stephen d 1 1
james d organizations 1 1
james j administrative 1 1
james j willis 3 5
james q varieties 1 1
january language english 6 5
jeffrey brantingham and 1 1
john e eck 4 1
jose mercury news 6 6
journal code qc 3 4
journal of criminal 8 10
journal of criminology 2 1
journal of research 2 1
jr and david 1 1
jr the police 1 1
july compared with 1 2
july language english 5 1
just a few 3 1
just as the 1 1
just length words 1 1
justice a review 8 5
justice crime and 1 1
justice crime just 1 1
justice for all 2 1
justice http www 1 4
justice washington dc 1 1
k brown calling 1 1
k information technologies 1 1
kansas city preventive 3 1
kelling et al 4 2
kelling george l 2 4
key to a 1 1
kind of information 1 1
know and what 1 1
know to what 3 1
know where to 1 1
knowledge law and 1 1
known as predictive 5 2
known to the 2 2
language english acc 10 4
language english graphic 13 7
language english publication 34 4
laptop computer in 1 4
laptops in squad 1 1
large amounts of 2 1
large number of 5 3
large numbers of 4 4
large police agencies 5 3
large police departments 2 1
large samples of 1 1
last three decades 1 2
last two decades 1 1
last year and 1 2
last year but 2 2
last year in 11 1
late edition final 2 1
late s and 4 2
late s the 1 1
late twentieth century 1 4
latter part of 1 2
law and contemporary 1 2
law and criminology 5 3
law and society 3 6
law and the 2 1
law enforcement activities 1 1
law enforcement agencies 25 12
law enforcement agency 39 2
law enforcement agents 2 1
law enforcement and 20 6
law enforcement management 1 1
law enforcement officials 2 1
law enforcement that 1 1
lawcriminal offensescriminal infringementjurisdiction 1 1
lawrence w sherman 4 1
learned from the 2 1
least to some 1 1
least with regard 2 1
led to a 7 1
legal topics computer 2 1
legal topics for 8 1
legitimacy of the 4 1
legitimacy to the 1 1
length words article 6 1
length words santa 1 3
length words the 14 1
less likely to 8 1
less staff than 1 2
less than a 4 1
less than percent 1 1
level of police 2 1
level of professionalism 1 1
levels of crime 4 1
levels of police 2 2
levels of the 1 1
like wal mart 1 2
likely to be 29 1
likely to commit 1 1
likely to occur 28 5
limitation of the 2 1
limited evidence available 1 2
linking research and 1 1
little or no 1 3
little research had 1 1
live in a 1 1
live video feeds 1 1
lived in the 2 1
load date august 7 4
load date december 8 1
load date february 1 1
load date january 6 5
load date july 5 1
load date september 3 1
local agencies to 1 1
local government in 1 1
local governments a 1 1
local law enforcement 7 10
local length words 5 3
local police departments 3 1
local state and 4 1
location of burglaries 1 1
locations and times 1 4
long beach police 11 4
long history of 2 1
long time periods 1 4
longer periods of 1 1
longer time periods 1 2
longitudinal analysis of 3 1
look at the 7 1
looking at a 2 2
looking for ways 1 2
looks a lot 1 1
los angeles and 31 9
los angeles are 1 1
los angeles department 1 2
los angeles is 1 2
los angeles police 71 5
los angeles predictive 1 1
los angeles to 1 1
lot of things 1 1
low income areas 1 1
lower levels of 2 1
lum the diffusion 1 1
m going to 1 1
ma harvard university 3 2
ma mit press 1 5
major changes in 1 1
make arrests for 1 1
makes it possible 2 2
makes me think 2 1
making sense of 2 3
management and administrative 1 1
management edited by 1 1
manning peter k 1 1
many cities are 2 2
many of the 9 6
many of these 6 1
many of which 1 2
many police departments 11 2
many thousands of 1 1
map of the 2 1
mapping in policing 1 1
mastrofski and weisburd 1 3
materials see the 8 1
matters as well 1 1
maurice punch cambridge 1 4
may affect the 2 1
may be a 9 1
may be changing 1 1
may be less 3 1
may be more 3 2
may be required 3 1
may be some 2 1
may be that 3 3
may be the 10 1
may have a 1 2
may have been 2 2
may in fact 5 1
may no longer 2 1
may not be 13 2
may serve as 1 1
may still be 1 1
may well have 1 2
mcclatchy tribune business 10 4
mccue predictive policing 2 2
mct information services 10 2
means that the 5 1
mechanism by which 1 1
medianews group inc 15 1
medium and large 1 1
meeting of the 2 2
members of the 11 6
mercury news all 3 3
mercury news california 3 3
meta analysis of 3 1
meta p index 1 1
method is more 1 2
michael tonry and 9 6
michael tonry chicago 5 5
middle managers and 1 1
might argue that 1 2
might be a 3 1
might not be 1 4
minneapolis police are 1 1
minneapolis police department 2 1
minor quality of 2 1
mit press experiments 1 1
model has been 3 1
model of police 1 1
models for predicting 1 2
modern policing edited 4 5
monica ca rand 1 1
months after the 3 1
months of santa 1 1
more and more 2 1
more calls for 1 2
more effective in 2 1
more effective way 1 2
more information about 1 2
more information on 1 1
more likely to 19 1
more of the 2 3
more on the 2 1
more or less 1 6
more recent work 1 1
more sophisticated than 2 2
more sworn personnel 2 2
more than a 10 1
more than million 5 1
more than times 1 1
more time in 2 1
more willing to 2 1
morris chicago university 3 1
morris vol of 4 5
most at risk 1 1
most common and 1 1
most common police 1 1
most local police 1 1
most of the 22 3
most of this 1 1
most part the 1 1
motor vehicle thefts 1 2
move to the 1 1
movement in the 1 2
movements of the 1 1
much of an 1 1
much of the 9 5
must be made 2 1
must be sufficiently 1 1
n and sometimes 1 1
n and the 7 1
n but it 2 1
n despite the 2 1
n if the 5 1
n second the 2 1
n some police 2 1
n the influence 1 1
n there are 6 1
n there is 6 1
nation to use 2 6
national academies press 2 1
national academy of 2 2
national institute of 18 18
national research council 1 4
national survey of 2 3
nature of crime 2 1
nature of the 13 8
ncjrs gov pdffiles 8 1
necessary to effect 1 1
need for police 1 1
need to change 2 1
need to know 1 2
needed to be 12 1
neighborhood residents and 2 1
neighborhood so that 1 4
new approaches to 1 1
new crimes occur 1 2
new haven ct 1 1
new paradigm in 1 1
new perspectives in 1 1
new technologies are 1 1
new technologies have 1 1
new technologies may 1 2
new york and 9 1
new york basic 1 2
new york city 42 6
new york farrar 1 1
new york free 2 2
new york mcgraw 3 2
new york oxford 5 3
new york police 7 1
new york random 1 1
new york times 17 5
new york wiley 1 4
new zealand and 1 1
newark foot patrol 2 1
news all rights 3 3
news california july 1 1
news length words 27 5
news local length 3 3
news pg a 1 1
news pg length 6 1
news reports about 1 4
newspaper copyright contra 3 2
newspaper copyright medianews 15 1
newspaper copyright san 3 3
newspaper copyright the 6 2
newspaper journal code 20 4
newspapers all rights 4 2
nij grants pdf 2 1
nj princeton university 1 1
no change in 1 2
no effect on 4 1
no evidence of 2 1
no longer be 2 1
no one was 1 4
no place to 1 1
nor is it 1 1
nor is there 1 1
norval morris chicago 3 1
norval morris vol 4 5
not appear to 1 3
not be obvious 1 1
not be the 1 1
not been to 1 1
not enough to 3 1
not mean that 4 2
not necessarily a 2 2
not only on 2 1
not only whether 1 1
not surprising that 1 1
not to arrest 1 4
not to be 6 1
not to have 1 2
not to say 2 4
not unique to 2 1
not yet in 1 1
note that the 3 1
noted that the 1 1
notions of how 1 2
november http www 1 1
number of officers 2 2
number of police 2 2
numbers of police 1 2
o w wilson 1 1
objectives such as 1 1
occur and updated 1 2
occur in the 8 3
occurred in the 1 1
occurring in the 3 1
of a better 1 1
of a city 1 1
of a few 1 1
of a generation 1 1
of a large 1 1
of a larger 1 1
of a police 8 2
of a sample 1 1
of action in 1 1
of america s 5 6
of any sort 1 1
of at least 5 1
of authoritarian governments 1 1
of beliefs and 1 1
of broken windows 2 1
of burglaries and 1 2
of california press 1 2
of chicago crime 1 1
of chicago press 9 9
of chiefs of 2 4
of command and 1 1
of community oriented 2 2
of community policing 12 23
of compstat a 2 1
of computerized crime 1 1
of course the 1 1
of course this 1 1
of crime a 2 1
of crime and 29 8
of crime but 2 1
of crime control 3 1
of crime data 7 5
of crime in 18 2
of crime prediction 1 1
of crime reports 1 4
of crimes to 1 4
of criminal courts 1 1
of criminal justice 10 7
of criminal law 28 3
of data could 1 4
of data on 3 1
of data that 2 2
of deadly force 1 2
of democratic policing 1 2
of developing a 1 1
of documents contra 3 2
of documents copyright 9 1
of documents inland 2 1
of documents san 6 3
of documents santa 3 4
of documents the 11 3
of each crime 1 1
of each model 1 1
of each shift 2 1
of efforts to 1 1
of evidence of 1 1
of governance in 1 1
of government and 1 1
of government to 3 1
of his own 3 1
of home burglaries 1 4
of hot spots 4 2
of how police 2 1
of how to 2 3
of human rights 1 2
of information about 7 3
of information that 4 1
of information to 1 1
of justice assistance 1 2
of justice http 1 4
of justice police 1 1
of justice statistics 14 7
of justice that 11 1
of justice the 2 2
of law and 3 1
of law enforcement 27 13
of life in 3 1
of local government 6 2
of local police 2 7
of many specialized 1 1
of mental health 17 1
of methods and 1 1
of more than 9 1
of new ideas 1 1
of new information 1 1
of new technologies 6 2
of new york 11 2
of offense and 1 1
of officers and 5 2
of officers the 1 1
of officers to 1 5
of one or 1 1
of one s 9 2
of or more 1 1
of organizational change 2 1
of other institutions 1 1
of past crime 4 2
of patrol officers 1 1
of people who 3 1
of percent of 2 1
of personal computers 1 1
of police and 2 5
of police behavior 2 4
of police departments 2 3
of police discretion 6 1
of police in 1 8
of police is 1 1
of police knowledge 1 1
of police leaders 3 1
of police officers 10 2
of police organizations 1 17
of police patrol 2 1
of police practice 1 2
of police practices 3 1
of police presence 1 1
of police professionalism 2 1
of police reform 1 2
of police resources 3 1
of police service 4 3
of police technologies 1 1
of police to 1 1
of police work 1 6
of policing and 6 2
of policing as 2 1
of policing had 1 1
of policing in 4 5
of policing is 1 2
of policing was 1 1
of policy and 4 4
of predictive policing 48 9
of private security 1 1
of problem solving 10 1
of property crime 3 2
of public places 3 1
of public safety 11 1
of racial profiling 1 1
of research designs 1 1
of research edited 6 5
of research in 3 1
of research on 5 1
of research that 1 2
of research vol 2 1
of researchers including 2 2
of residential burglaries 1 1
of santa cruz 10 1
of service providers 1 1
of shootings and 1 2
of social control 1 1
of social scientists 1 1
of state and 1 5
of street level 1 1
of studies have 1 2
of supreme court 2 1
of technologies to 2 1
of technology and 1 1
of that crime 2 2
of the american 7 13
of the available 1 1
of the body 3 1
of the challenges 2 1
of the citizen 1 2
of the city 27 5
of the community 13 5
of the cops 1 1
of the courts 13 1
of the crime 17 5
of the criminal 19 1
of the culture 1 1
of the current 4 1
of the data 13 1
of the degree 1 2
of the department 16 5
of the effects 2 1
of the entire 2 4
of the evidence 11 1
of the federal 7 1
of the fifth 1 1
of the first 10 3
of the garner 1 1
of the government 10 1
of the high 4 1
of the highest 2 4
of the individual 4 1
of the investigation 2 1
of the jurisdiction 1 2
of the kansas 3 1
of the latest 2 1
of the literature 1 1
of the los 1 2
of the many 1 1
of the more 2 1
of the most 28 6
of the national 5 1
of the new 12 5
of the offender 3 1
of the officer 8 3
of the old 2 1
of the organization 1 10
of the pathologies 1 1
of the patrol 2 1
of the people 10 1
of the police 33 27
of the political 3 1
of the process 1 2
of the program 9 4
of the public 15 1
of the relationship 7 1
of the research 2 3
of the robber 1 1
of the s 4 4
of the search 3 1
of the seriousness 1 1
of the standard 1 2
of the studies 1 2
of the technology 8 4
of the three 1 1
of the top 1 1
of the twentieth 4 7
of the twenty 2 4
of the two 4 1
of the value 1 1
of the week 1 2
of the world 6 1
of the year 3 3
of their communities 3 2
of their officers 1 1
of their political 1 1
of their supervisors 1 2
of their traditional 1 1
of them the 1 1
of these approaches 1 2
of these new 5 1
of these reforms 1 1
of these technologies 1 1
of this approach 4 1
of this essay 1 1
of this sort 3 2
of thousands of 4 1
of three cities 1 1
of time are 1 2
of time from 1 1
of traditional police 1 1
of us police 2 1
of ways to 3 1
of what could 1 1
of what the 2 2
of what we 2 2
of what works 3 1
of where the 2 1
of which might 1 1
of which were 2 1
offensescriminal infringementjurisdiction venuegovernmentslocal 1 1
office of community 2 1
office of the 8 1
office ratcliffe jerry 1 1
officer has a 3 1
officer s time 1 1
officers are asked 3 1
officers are given 1 3
officers at a 2 1
officers compared to 1 1
officers in a 2 1
officers in the 8 5
officers of the 2 1
officers to conduct 1 1
officers to make 2 1
officers who had 1 1
officers who were 2 1
often rely on 1 1
on a case 1 2
on a few 1 1
on a number 3 2
on a police 1 1
on a timely 1 1
on a whim 1 1
on an earlier 1 1
on any given 5 1
on being able 1 1
on crime and 4 1
on crime prevention 2 1
on hot spots 1 1
on how much 2 1
on how to 3 1
on law enforcement 1 1
on models for 1 2
on past crimes 3 2
on police performance 1 1
on police policy 1 2
on police practices 2 3
on police shooting 1 1
on police use 1 1
on property crimes 3 6
on social networking 1 1
on the basis 19 2
on the belief 1 4
on the day 2 2
on the effects 1 2
on the face 1 1
on the ground 4 1
on the internet 2 1
on the job 14 1
on the lookout 2 1
on the most 1 1
on the new 2 1
on the number 2 1
on the project 1 1
on the role 3 2
on the same 7 1
on the scene 2 2
on the streets 12 1
on the type 2 1
on the use 3 2
on their own 5 1
on top of 1 1
on what they 2 1
on which the 3 1
once a crime 1 1
one in which 2 1
one is a 1 1
one is to 2 1
one of its 3 2
one of the 58 13
one of two 3 1
one or a 1 2
one reason for 1 2
one researcher found 1 1
one size fits 1 1
one study found 1 1
one study of 1 1
one that had 1 1
only a few 2 2
only as the 1 1
only if a 1 1
only in the 5 1
only percent of 4 1
operations of the 1 1
opportunity for a 1 1
or a few 1 2
or at least 6 3
or dangerous knowledge 1 1
or that they 1 1
order maintenance and 3 1
organization edited by 1 5
organization in the 2 2
organizational change in 3 4
organizational culture of 1 1
organizations in a 1 1
organizations in action 1 1
organizations or on 1 1
orientation to the 1 1
oriented policing hot 1 1
oriented policing new 1 1
oriented policing services 2 2
oriented policing the 1 2
other aspects of 1 1
other bits of 2 1
other crimes and 1 1
other forms of 2 1
other police departments 18 2
other sorts of 1 1
other sources of 1 1
other types of 2 2
others and the 1 1
others in the 3 1
others such as 1 2
our predictive policing 1 2
our resources in 1 2
out in the 7 1
out of a 6 1
out of the 19 1
out of their 2 1
out to be 4 1
outcomes that are 1 1
outputs and outcomes 5 1
over the course 2 5
over the last 5 1
over the life 1 2
over the next 4 1
over time to 2 1
oxford oxford university 1 2
oxford university press 6 5
p but the 1 1
p index html 1 1
p jeffrey brantingham 2 1
paper presented at 1 2
parking garage is 1 1
part because of 1 1
part from the 1 1
part in the 1 1
part of a 10 3
part of an 7 2
part of the 45 6
participate in the 4 1
particularly because the 1 1
partnering with the 1 1
partnership with the 2 1
parts of the 10 2
past crime data 5 4
pate duane dieckman 1 1
patrol experiment a 2 1
patrol experiment washington 1 1
patrol has been 1 1
patrol in those 1 1
patrol officer s 1 1
patrol officers are 1 2
patrol officers in 2 1
patrol officers to 2 1
patrol officers who 1 1
patrol sergeants and 2 1
patrol was not 1 1
patterns in years 1 2
patterns of crime 3 1
people but rather 1 3
people who are 5 1
percent decrease in 1 1
percent drop in 7 1
percent of all 6 1
percent of its 2 2
percent of police 2 1
percent of the 21 5
perception of their 1 1
perceptions of crime 1 1
performance the best 1 1
perhaps the most 1 2
perspective on the 1 2
perspectives in policing 1 1
peter k information 1 1
peter reuter and 1 1
pg a length 2 1
pg length words 12 2
phd dissertation university 1 1
plausible that the 1 1
pointing to a 1 1
police agencies also 1 1
police agencies and 1 2
police agencies are 1 1
police agencies from 1 1
police agencies have 3 4
police agencies than 2 1
police agencies the 1 1
police agencies to 1 2
police and an 1 1
police and community 1 3
police and its 2 1
police and other 2 1
police and police 1 2
police and the 1 5
police before there 5 1
police bureau of 1 1
police chief kevin 1 2
police chiefs and 2 1
police chiefs to 1 1
police community relationships 1 1
police corruption berkeley 1 1
police department about 2 2
police department are 1 1
police department for 3 2
police department in 4 4
police department s 20 8
police department said 2 4
police department the 5 1
police department to 4 1
police department which 4 2
police department will 2 2
police departments and 12 2
police departments are 6 3
police departments around 2 1
police departments can 2 1
police departments from 2 1
police departments had 1 1
police departments have 17 1
police departments in 4 2
police departments law 2 1
police departments may 3 1
police departments of 1 1
police departments that 11 1
police departments throughout 1 1
police departments washington 1 1
police departments were 1 1
police departments with 1 1
police discretion and 1 1
police discretion scientific 1 1
police do and 1 2
police do in 4 1
police executive research 11 9
police foundation conducted 1 1
police foundation weisburd 1 1
police from the 1 2
police gun use 2 1
police have been 1 1
police in a 3 2
police in los 1 1
police in modern 3 3
police in particular 1 1
police in the 4 8
police leaders and 5 3
police leaders are 1 1
police leaders to 2 4
police legitimacy and 1 1
police officer is 1 4
police officers and 9 1
police officers in 3 3
police officers know 1 1
police officers the 2 2
police officers who 4 2
police or the 2 1
police organization edited 1 4
police organization in 1 3
police out of 1 1
police plan to 2 1
police policy and 1 2
police practice and 1 5
police practice is 1 1
police practices and 1 2
police practices in 1 2
police practices the 1 1
police research has 1 1
police resource allocation 2 1
police resource allocations 1 1
police responses to 2 1
police said the 3 1
police science toward 1 1
police service is 1 1
police shooting discretion 1 1
police staffing and 1 1
police to make 3 1
police training and 1 1
police use of 5 3
police use their 1 1
police washington dc 1 1
police work as 1 3
policies and practices 1 3
policing across the 1 2
policing and community 1 2
policing and how 1 1
policing and other 1 1
policing and predictive 3 1
policing and the 9 3
policing and to 11 1
policing are the 1 1
policing as a 9 1
policing as an 3 2
policing broken windows 1 1
policing by the 2 1
policing edited by 4 8
policing has been 6 2
policing hot spots 2 1
policing ideas in 1 1
policing in a 1 2
policing in an 1 6
policing in the 9 12
policing is still 5 1
policing linking research 1 1
policing looks a 1 1
policing n but 1 1
policing new york 2 2
policing problem places 1 1
policing promises to 2 1
policing services in 1 1
policing should be 2 1
policing skogan and 1 1
policing systems are 1 1
policing technologies are 1 1
policing technologies in 2 1
policing the evidence 3 1
policing the future 2 1
policing weisburd and 1 3
policing what can 2 1
policing which is 2 1
policy and organizational 1 1
policy and practice 2 4
policy making and 1 1
policy weisburd david 1 1
popular in the 1 1
potential to transform 1 1
power footnotes n 2 1
practice and research 1 5
practice materials see 8 1
practice police practice 1 1
practices in the 2 1
practices of the 1 4
precisely because the 1 1
predict crime byline 1 2
predict future behavior 1 1
predict future crime 3 1
predicting aftershocks from 2 2
predicting criminal behavior 1 1
predicting the future 4 1
prediction to the 2 2
predictive policing and 26 1
predictive policing because 1 1
predictive policing has 10 1
predictive policing in 11 6
predictive policing includes 1 1
predictive policing is 27 6
predictive policing methods 1 1
predictive policing program 9 8
predictive policing the 9 1
predictive policing to 3 1
predictive policing uses 1 1
predictive policing what 2 1
predictive policing will 4 2
predicts that there 1 2
presence in the 1 2
presence of the 2 2
presented at the 1 2
president s commission 2 2
press experiments in 1 1
press reiss albert 1 1
press sherman lawrence 2 1
press skogan wesley 2 1
press weisburd david 1 1
pressures to reduce 1 1
preventing crime what 1 1
preventive patrol experiment 3 1
princeton nj princeton 1 1
princeton university press 1 1
printing office ratcliffe 1 1
private policing and 1 2
private security firms 6 1
private security officers 3 1
problem oriented approach 5 1
problem oriented policing 15 18
problem solving and 2 1
problem solving in 1 1
problems before they 1 1
procedural rights and 1 1
product of the 1 1
program that uses 1 2
program to predict 2 2
program was launched 1 1
program which uses 1 2
programs like this 1 2
projections about which 1 2
projections are recalibrated 1 2
promote the development 1 1
property crime burglary 1 2
property crimes like 2 2
property crimes the 2 2
proponents suggest that 1 1
prosecutors defense attorneys 2 1
provided by the 2 2
provided him with 1 2
public and private 2 4
public confidence in 1 2
public cooperation with 1 1
public image of 1 1
public new haven 1 1
public places and 4 1
public policy weisburd 1 1
public s confidence 1 2
public should be 1 1
publication type newspaper 60 15
pulls up a 1 1
punch cambridge ma 1 4
put police in 1 4
q varieties of 1 1
qc copyright santa 3 4
quality of life 18 2
quality of the 2 1
quantity and quality 3 1
quarter of the 1 1
question of whether 8 1
racial composition of 3 1
range of issues 1 1
rank and file 2 7
rates can be 1 1
rates for major 2 1
rates in the 1 1
rather as a 1 1
rather than assuming 1 1
rather than in 5 1
rather than months 1 1
rather than the 12 2
reaction to the 2 2
real time analysis 3 1
real time to 1 1
recalibrated daily as 1 2
recent crime data 1 2
recession police chief 2 1
reduce crime and 2 1
reducing police gun 1 1
reflected in the 2 1
reform controlling police 1 1
regardless of the 10 2
regional news length 9 4
reiss albert j 2 2
related research and 8 1
related to the 5 1
relationship between the 2 1
relative to other 2 1
relatively few studies 1 1
relevant to police 1 1
reliability and validity 2 1
reliability of the 8 2
relied heavily on 4 1
rely heavily on 2 2
removed from the 3 1
report of the 3 1
report washington dc 1 2
reported burglaries in 1 1
require police to 1 1
requires at least 2 1
requires that police 2 1
research and practice 9 4
research council committee 1 1
research edited by 6 5
research forum president 1 1
research had been 1 1
research has been 2 1
research in brief 1 1
research in crime 2 1
research indicates that 1 3
research into practice 1 1
research on police 1 4
research on the 2 1
research showed that 3 1
research shows that 2 1
research suggests that 2 1
research vol edited 2 1
research weisburd david 1 1
researcher found that 1 1
researchers were able 3 1
reserved 1 reserved  1
reserved of documents 47 8
resources for these 1 1
resources in a 1 2
respond to a 1 1
respond to calls 2 1
responding to citizens 1 1
response time analysis 2 1
response to a 3 1
responses to calls 1 1
rest of us 1 2
resulted in a 2 1
results have been 3 1
reuter and shawn 1 1
reversed the crime 2 1
review of research 8 6
review of the 3 3
review wilson james 1 1
rhetoric or reality 1 2
rights reserved 1 rights 1
rights reserved of 47 8
rising crime rates 2 1
risk for future 3 2
robbery and aggravated 1 1
role in overseeing 1 1
role in the 2 2
role of the 14 1
roll call meetings 1 4
rosann greenspan and 1 1
rule of law 3 1
s a crime 5 1
s ability to 15 1
s and early 2 1
s and s 6 4
s capacity to 2 1
s commission on 12 1
s confidence in 1 2
s crime hot 1 1
s degree in 11 1
s department of 11 7
s desire to 1 1
s experience with 1 1
s going on 2 1
s going to 10 4
s law enforcement 5 1
s local governments 1 1
s police department 3 1
s police force 2 1
s position the 1 1
s predictive policing 5 2
s the police 1 1
s there is 1 1
s to deter 1 1
s top cop 3 1
s violent crime 2 1
s willingness to 1 1
s with the 2 1
s work has 1 2
said adding that 2 1
said but i 1 2
said he added 1 1
said he is 2 4
said he wants 1 4
said i m 1 1
said if the 2 1
said it could 1 1
said it s 6 7
said it was 4 1
said load date 1 2
said of the 3 1
said predictive policing 4 1
said santa cruz 5 4
